WORD	FREQ	JACCARD SIMILARITY
zoom	1.0	7.374631268436578E-4
astronaut	1.0	0.0015313935681470138
cripple	1.0	0.0014492753623188406
hairdryer	1.0	0.00141643059490085
repressive	1.0	0.0016233766233766235
compatibility	1.0	9.216589861751152E-4
britain	1.0	7.079144839303412E-5
menu	1.0	1.7032873445750298E-4
truth	1.0	1.5743073047858942E-4
sep	1.0	2.6497085320614734E-4
roller	1.0	9.68054211035818E-4
romance	1.0	7.220216606498195E-4
effectiveness	1.0	3.0731407498463427E-4
tutor	1.0	2.353494939985879E-4
grateful	1.0	4.5955882352941176E-4
disabled	1.0	1.839249586168843E-4
quantitative	1.0	7.369196757553427E-4
bearable	1.0	0.0017482517482517483
parking	1.0	1.801477211313277E-4
subordinate	1.0	0.0010638297872340426
selfreliant	1.0	0.0018587360594795538
bid	1.0	2.6946914578280785E-4
constituent	1.0	7.047216349541931E-4
engineer	1.0	2.0479213598197828E-4
adult	1.0	9.427736400490242E-5
william	1.0	1.3374348000534973E-4
added	1.0	3.920031360250882E-4
inks	1.0	0.001893939393939394
tesla	1.0	0.0016638935108153079
glide	1.0	0.001218026796589525
ferry	1.0	4.636068613815484E-4
gcse	1.0	5.892751915144372E-4
sport	1.0	8.954956568460644E-5
hutton	1.0	0.001076426264800861
modify	1.0	2.4366471734892786E-4
clarity	1.0	5.995203836930455E-4
uploading	1.0	0.001488095238095238
roaccutane	1.0	0.00196078431372549
historical	1.0	1.56128024980484E-4
radebe	1.0	0.0018587360594795538
magnet	1.0	0.0010964912280701754
collar	1.0	8.771929824561404E-4
stuart	1.0	4.1135335252982314E-4
lodge	1.0	3.1776294884016526E-4
election	1.0	1.5257857796765334E-4
russians	1.0	0.001177856301531213
surface	1.0	1.2938284383490748E-4
wma	1.0	0.0016835016835016834
selfless	1.0	0.001694915254237288
lyric	1.0	5.984440454817474E-4
sensitive	1.0	3.0413625304136254E-4
choreographic	1.0	0.001763668430335097
octal	1.0	0.0018832391713747645
specially	1.0	4.7778308647873863E-4
info	1.0	2.039983680130559E-4
hlzle	1.0	0.0018975332068311196
grandchild	1.0	0.0010416666666666667
significance	1.0	3.652300949598247E-4
score	1.0	1.2929919834497026E-4
spray	1.0	6.261740763932373E-4
mahoro	1.0	0.0019723865877712033
trigger	1.0	4.5310376076121433E-4
plated	1.0	0.0017035775127768314
heartburn	1.0	0.0017889087656529517
football	1.0	1.5015015015015014E-4
milk	1.0	3.1357792411414236E-4
alleviate	1.0	9.813542688910696E-4
reviewed	1.0	0.0015060240963855422
actor	1.0	2.886002886002886E-4
pin	1.0	4.299226139294927E-4
charitable	1.0	5.184033177812338E-4
profitmaking	1.0	0.0018867924528301887
pit	1.0	3.9323633503735744E-4
singing	1.0	5.797101449275362E-4
cubic	1.0	0.0013054830287206266
proud	1.0	2.7909572983533354E-4
random	1.0	4.1425020712510354E-4
consulting	1.0	6.435006435006435E-4
boost	1.0	3.4494653328734045E-4
adrian	1.0	5.787037037037037E-4
favourites	1.0	0.001718213058419244
tired	1.0	5.461496450027307E-4
nov	1.0	2.7839643652561246E-4
saving	1.0	2.3832221163012392E-4
conclusion	1.0	1.6937669376693767E-4
coordinator	1.0	2.9824038174768865E-4
chmod	1.0	0.0018315018315018315
epigraph	1.0	0.0019230769230769232
contrary	1.0	4.7281323877068556E-4
plantbased	1.0	0.001941747572815534
awkward	1.0	9.46969696969697E-4
piano	1.0	5.138746145940391E-4
commanding	1.0	0.0012406947890818859
curtailed	1.0	0.001984126984126984
translation	1.0	2.9726516052318666E-4
shaky	1.0	0.0015455950540958269
heroes	1.0	0.001392757660167131
litte	1.0	0.0019646365422396855
worklife	1.0	0.0014577259475218659
tireless	1.0	0.0016051364365971107
perfectionist	1.0	0.001694915254237288
misaligned	1.0	0.001937984496124031
