WORD	FREQ	JACCARD SIMILARITY
dinah	1.0	0.001834862385321101
plastic	1.0	2.875215641173088E-4
surname	1.0	8.460236886632825E-4
tinnion	1.0	0.0019157088122605363
lutwich	1.0	0.0019646365422396855
birlstone	1.0	0.001953125
groom	1.0	8.305647840531562E-4
jollylooking	1.0	0.0019646365422396855
wester	1.0	0.0017513134851138354
httpsnipurlcomqk	1.0	0.0019646365422396855
himmel	1.0	0.001941747572815534
administrator	1.0	3.4411562284927734E-4
ruth	1.0	6.226650062266501E-4
moss	1.0	6.954102920723226E-4
convene	1.0	9.871668311944718E-4
bertram	1.0	0.0017825311942959
lesion	1.0	0.0011918951132300357
bateleur	1.0	0.0019267822736030828
ball	1.0	1.4023278642546626E-4
lt	1.0	8.695652173913044E-4
chettleburgh	1.0	0.0019646365422396855
excise	1.0	0.0010330578512396695
disjoin	1.0	0.001941747572815534
tho	1.0	0.0011299435028248588
parsons	1.0	0.0010799136069114472
phillip	1.0	0.0011494252873563218
surround	1.0	1.563232765358762E-4
sdlp	1.0	0.001336898395721925
whilst	1.0	8.517162081594413E-5
luncheon	1.0	0.0015128593040847202
alloway	1.0	0.0018656716417910447
piara	1.0	0.0019342359767891683
surrogate	1.0	0.0014749262536873156
hadjioannou	1.0	0.0019646365422396855
maugham	1.0	0.0018050541516245488
tweedale	1.0	0.0019267822736030828
geddes	1.0	0.001669449081803005
sandown	1.0	0.0016556291390728477
constituent	1.0	7.017543859649122E-4
montfort	1.0	0.0014245014245014246
privately	1.0	7.097232079489E-4
ainslie	1.0	0.0018281535648994515
utmost	1.0	0.0010570824524312897
bankrupt	1.0	0.0010162601626016261
diane	1.0	0.0010515247108307045
elder	1.0	7.230657989877079E-4
flowergate	1.0	0.0019646365422396855
market	1.0	4.1003772347055926E-5
dougbarradell	1.0	0.0019646365422396855
shape	1.0	1.3666803334700013E-4
coper	1.0	0.0019230769230769232
anent	1.0	0.0019305019305019305
allogeneic	1.0	0.0018832391713747645
leg	1.0	2.232142857142857E-4
holdsworth	1.0	0.0018018018018018018
jsmithlonacuk	1.0	0.0019646365422396855
russia	1.0	3.0864197530864197E-4
neighbour	1.0	2.501876407305479E-4
spanion	1.0	0.0019646365422396855
aboveknee	1.0	0.0019455252918287938
woodmansy	1.0	0.0019646365422396855
niven	1.0	0.0018281535648994515
lisleen	1.0	0.0019646365422396855
urology	1.0	0.001594896331738437
sennight	1.0	0.0019342359767891683
scarecrow	1.0	0.0017421602787456446
daugh	1.0	0.0018587360594795538
wpaustin	1.0	0.0019646365422396855
peto	1.0	0.001876172607879925
purac	1.0	0.0019569471624266144
marianne	1.0	0.0015723270440251573
halls	1.0	0.0011261261261261261
portuguese	1.0	8.695652173913044E-4
kestral	1.0	0.001953125
debbie	1.0	0.0010214504596527069
novices	1.0	0.0018975332068311196
constituents	1.0	0.0019230769230769232
summarise	1.0	5.213764337851929E-4
boards	1.0	0.0010395010395010396
exchequer	1.0	0.0012135922330097086
mgdsrcs	1.0	0.0019646365422396855
benfleet	1.0	0.0018656716417910447
md	1.0	7.168458781362007E-4
darbyshire	1.0	0.001869158878504673
purao	1.0	0.00196078431372549
buttery	1.0	0.0017241379310344827
hesp	1.0	0.0019342359767891683
ten	1.0	8.19000819000819E-4
feed	1.0	1.4943215780035862E-4
caxton	1.0	0.0018115942028985507
hansson	1.0	0.0019305019305019305
enable	1.0	6.269199423233653E-5
salsbury	1.0	0.001953125
becasue	1.0	0.0018796992481203006
margery	1.0	0.0017667844522968198
