WORD	FREQ	JACCARD SIMILARITY
determinants	1.0	0.0019455252918287938
advanced	1.0	1.5424957581366652E-4
evolution	1.0	3.096934035305048E-4
locallybased	1.0	0.001876172607879925
domicile	1.0	0.0015060240963855422
provocative	1.0	0.0012987012987012987
ifoam	1.0	0.0018587360594795538
largely	1.0	2.448579823702253E-4
necessarily	1.0	2.670940170940171E-4
friends	1.0	5.310674455655868E-4
unified	1.0	0.001004016064257028
pound	1.0	2.3430178069353328E-4
carefully	1.0	2.2241992882562276E-4
justiciable	1.0	0.00196078431372549
origin	1.0	2.2857142857142857E-4
environmentally	1.0	7.513148009015778E-4
globalizing	1.0	0.0019723865877712033
barry	1.0	4.440497335701599E-4
die	1.0	7.59762953958365E-5
centralisation	1.0	0.001692047377326565
safely	1.0	4.510599909788002E-4
tobacco	1.0	5.534034311012728E-4
criagie	1.0	0.0019801980198019802
style	1.0	7.671653241273494E-5
undertake	1.0	9.936406995230525E-5
twoway	1.0	0.0013315579227696406
cohort	1.0	8.873114463176575E-4
headline	1.0	4.580852038479157E-4
unfit	1.0	0.0012437810945273632
tranquillity	1.0	0.001379310344827586
talented	1.0	5.546311702717693E-4
sapphire	1.0	0.0014084507042253522
lsda	1.0	0.0018248175182481751
totnes	1.0	0.001697792869269949
eambes	1.0	0.001984126984126984
nigeria	1.0	8.849557522123894E-4
belt	1.0	4.662004662004662E-4
cambodia	1.0	0.0013698630136986301
hazardous	1.0	7.598784194528875E-4
discipline	1.0	2.158894645941278E-4
types	1.0	0.0012224938875305623
inbound	1.0	0.001519756838905775
petr	1.0	0.0018484288354898336
employed	1.0	0.0017793594306049821
restoration	1.0	4.0716612377850165E-4
chairperson	1.0	0.0011086474501108647
kenya	1.0	7.468259895444362E-4
encroachment	1.0	0.0015527950310559005
clearing	1.0	9.49667616334283E-4
headquarters	1.0	4.967709885742673E-4
rspb	1.0	0.00125
newborn	1.0	0.0012062726176115801
phnom	1.0	0.0018796992481203006
qualified	1.0	4.32152117545376E-4
sheffield	1.0	2.962962962962963E-4
vaccine	1.0	5.998800239952009E-4
message	1.0	6.145148405333988E-5
alston	1.0	0.0014727540500736377
dptac	1.0	0.0015337423312883436
mission	1.0	1.859773107680863E-4
tangible	1.0	0.0010224948875255625
proposed	1.0	0.0011655011655011655
stability	1.0	3.663003663003663E-4
spatially	1.0	0.0016260162601626016
pratical	1.0	0.001953125
proclaim	1.0	8.56898029134533E-4
refine	1.0	7.818608287724785E-4
equity	1.0	4.2140750105351877E-4
king	1.0	9.255831173639393E-5
gse	1.0	0.0019455252918287938
contest	1.0	4.7961630695443646E-4
plymouth	1.0	5.685048322910744E-4
thailand	1.0	8.319467554076539E-4
firmly	1.0	5.184033177812338E-4
learndirect	1.0	0.0014367816091954023
cure	1.0	4.562043795620438E-4
cross	1.0	8.754267705506434E-5
wetland	1.0	0.0010111223458038423
arbiter	1.0	0.0017301038062283738
province	1.0	5.417118093174431E-4
antiparty	1.0	0.001976284584980237
understandable	1.0	9.587727708533077E-4
import	1.0	3.194888178913738E-4
butterfly	1.0	6.540222367560497E-4
argue	1.0	1.4320492624946297E-4
screen	1.0	1.0402579839800271E-4
alert	1.0	3.8138825324180017E-4
kathy	1.0	0.0011668611435239206
heart	1.0	7.169486664754803E-5
middle	1.0	1.1947431302270011E-4
gather	1.0	2.320185614849188E-4
ncvo	1.0	0.0013736263736263737
distinctive	1.0	4.5829514207149406E-4
homophobic	1.0	0.0015174506828528073
regulator	1.0	5.324813631522897E-4
norms	1.0	0.0019267822736030828
excite	1.0	5.934718100890207E-4
responses	1.0	0.001869158878504673
regret	1.0	6.317119393556538E-4
prime	1.0	1.7448961786773688E-4
parish	1.0	1.669727834362999E-4
budgetary	1.0	0.001440922190201729
dynastic	1.0	0.0017985611510791368
tpu	1.0	0.0019569471624266144
instantly	1.0	6.269592476489029E-4
blairgowrie	1.0	0.0017921146953405018
underestimate	1.0	9.940357852882703E-4
operating	1.0	3.1746031746031746E-4
postgraduate	1.0	2.3474178403755868E-4
gay	1.0	3.4578146611341634E-4
pend	1.0	9.174311926605505E-4
underlying	1.0	4.4014084507042255E-4
tables	1.0	0.0010857763300760044
andhra	1.0	0.0018867924528301887
perception	1.0	2.99311583358276E-4
caller	1.0	8.064516129032258E-4
jan	1.0	2.2187708009762592E-4
declaration	1.0	4.1135335252982314E-4
due	1.0	5.5527791659725695E-5
ski	1.0	4.6189376443418013E-4
tablet	1.0	5.47945205479452E-4
genetic	1.0	3.071253071253071E-4
sunburn	1.0	0.0017211703958691911
manifest	1.0	7.358351729212656E-4
incipient	1.0	0.0018867924528301887
bypass	1.0	6.91085003455425E-4
freight	1.0	7.961783439490446E-4
closed	1.0	5.973715651135006E-4
httpwwwurbanodpmgovukcommunitysgpapplicationindexhtm	1.0	0.001984126984126984
actual	1.0	2.0247013565499088E-4
weak	1.0	3.429355281207133E-4
irish	1.0	2.275830678197542E-4
pembrokeshire	1.0	0.001182033096926714
edited	1.0	0.0010787486515641855
oversee	1.0	6.053268765133172E-4
canterbury	1.0	6.373486297004461E-4
sierra	1.0	0.0011210762331838565
kick	1.0	2.6253609871357313E-4
negotiating	1.0	0.0015408320493066256
doh	1.0	0.0012033694344163659
persistent	1.0	7.892659826361484E-4
cbi	1.0	0.0012091898428053204
civilized	1.0	0.0015822784810126582
residence	1.0	3.8774718883288094E-4
outsource	1.0	0.001277139208173691
examinations	1.0	0.001597444089456869
wear	1.0	1.290489095367144E-4
keymark	1.0	0.0018656716417910447
wales	1.0	8.218952905399852E-5
employ	1.0	1.4367816091954023E-4
eventually	1.0	1.836884643644379E-4
territorial	1.0	9.940357852882703E-4
craft	1.0	2.8851702250432774E-4
graphically	1.0	0.001483679525222552
envisage	1.0	7.112375533428165E-4
tourism	1.0	3.156565656565657E-4
official	1.0	9.139097057210747E-5
annum	1.0	6.561679790026247E-4
republic	1.0	3.33889816360601E-4
conventional	1.0	3.204101249599487E-4
sustain	1.0	3.832886163280951E-4
gardoise	1.0	0.001976284584980237
trends	1.0	0.0012437810945273632
conflict	1.0	1.901863826550019E-4
machine	1.0	9.691800736576855E-5
collaborate	1.0	6.527415143603133E-4
vary	1.0	1.503307276007216E-4
simply	1.0	7.412348973389667E-5
release	1.0	5.88754783632617E-5
surveyor	1.0	8.695652173913044E-4
comparison	1.0	2.2411474675033618E-4
coastal	1.0	4.2069835927639884E-4
compost	1.0	6.87757909215956E-4
bulletin	1.0	4.3233895373973193E-4
cell	1.0	1.2512512512512512E-4
ncmd	1.0	0.0018832391713747645
lgbt	1.0	0.0013513513513513514
stateowned	1.0	0.0017605633802816902
contend	1.0	0.001006036217303823
uganda	1.0	0.0010351966873706005
dpd	1.0	0.0018867924528301887
projection	1.0	6.426735218508997E-4
cfilm	1.0	0.001984126984126984
gaps	1.0	0.0018552875695732839
liliane	1.0	0.0019342359767891683
equivalent	1.0	2.0100502512562814E-4
returnable	1.0	0.0017730496453900709
poet	1.0	4.0899795501022495E-4
tideway	1.0	0.001893939393939394
parity	1.0	0.001177856301531213
transpose	1.0	0.0016474464579901153
intelligent	1.0	4.472271914132379E-4
contracting	1.0	0.0011299435028248588
overuse	1.0	0.0016051364365971107
interviewee	1.0	0.0011325028312570782
eemployment	1.0	0.0019801980198019802
accessible	1.0	1.9305019305019305E-4
outline	1.0	1.6733601070950468E-4
haspev	1.0	0.001984126984126984
leone	1.0	0.0012626262626262627
absorb	1.0	4.873294346978557E-4
disarmament	1.0	7.530120481927711E-4
actors	1.0	0.0016051364365971107
cast	1.0	2.1312872975277067E-4
delete	1.0	3.4746351633078526E-4
healthcare	1.0	2.954209748892171E-4
list	1.0	3.109936246306951E-5
playground	1.0	8.230452674897119E-4
heroine	1.0	0.001379310344827586
artery	1.0	0.0010449320794148381
principally	1.0	8.703220191470844E-4
governors	1.0	0.0011086474501108647
illegal	1.0	3.4129692832764505E-4
append	1.0	0.0012547051442910915
kiosk	1.0	0.001466275659824047
conjunction	1.0	3.5739814152966406E-4
illness	1.0	2.523977788995457E-4
persistence	1.0	0.0012062726176115801
extent	1.0	1.7461148943600488E-4
theme	1.0	1.3082155939298797E-4
citizenship	1.0	5.030181086519115E-4
similarly	1.0	3.7355248412401944E-4
fitness	1.0	3.495281370150297E-4
slums	1.0	0.0019267822736030828
highway	1.0	4.911591355599214E-4
submissions	1.0	0.0017985611510791368
actionthe	1.0	0.001968503937007874
virtue	1.0	4.8426150121065375E-4
commonly	1.0	3.8595137012736397E-4
outreach	1.0	7.342143906020558E-4
eastern	1.0	2.4078979051288225E-4
ambition	1.0	5.567928730512249E-4
warming	1.0	7.072135785007072E-4
established	1.0	4.488330341113106E-4
flag	1.0	3.225806451612903E-4
flat	1.0	1.753463089601964E-4
peter	1.0	9.433072351664937E-5
sars	1.0	0.0013869625520110957
cairo	1.0	0.0012315270935960591
friendly	1.0	1.6342539630658605E-4
signpost	1.0	8.561643835616438E-4
