WORD	FREQ	JACCARD SIMILARITY
president	1.0	1.2943308309603936E-4
newcomer	1.0	8.928571428571428E-4
cryptosporidium	1.0	0.001851851851851852
compete	1.0	2.7277686852154935E-4
unidentifiable	1.0	0.0018587360594795538
willingly	1.0	0.0013908205841446453
startoutinbusinesscom	1.0	0.0019646365422396855
patios	1.0	0.001953125
evolve	1.0	3.527336860670194E-4
multimedia	1.0	4.060089321965083E-4
selfesteem	1.0	0.0010905125408942203
classroom	1.0	2.8368794326241134E-4
shock	1.0	3.3433634236041456E-4
liaise	1.0	8.216926869350862E-4
ambassadors	1.0	0.001644736842105263
origin	1.0	2.2836263987211693E-4
commercialisation	1.0	0.0013297872340425532
requisite	1.0	0.0012853470437017994
repayment	1.0	6.540222367560497E-4
forms	1.0	0.0010080645161290322
youre	1.0	8.319467554076539E-4
knowledgeable	1.0	0.001076426264800861
rehabilitation	1.0	5.382131324004305E-4
literature	1.0	1.6775708773695687E-4
enterprise	1.0	1.9976028765481422E-4
weekday	1.0	0.0010504201680672268
colombo	1.0	0.0016474464579901153
playpark	1.0	0.0019455252918287938
tram	1.0	0.0010256410256410256
salmonella	1.0	0.0015290519877675841
paint	1.0	2.2680880018144704E-4
departments	1.0	6.925207756232687E-4
audience	1.0	1.2218963831867058E-4
direction	1.0	1.1951715071112705E-4
sink	1.0	4.219409282700422E-4
limitation	1.0	3.6310820624546115E-4
jewish	1.0	3.2299741602067185E-4
reject	1.0	2.8368794326241134E-4
stable	1.0	3.26477309826967E-4
revenge	1.0	8.748906386701663E-4
maroc	1.0	0.0019083969465648854
anstruther	1.0	0.0019193857965451055
gate	1.0	2.5081514923501377E-4
picture	1.0	6.810133478616181E-5
nutrition	1.0	4.7080979284369113E-4
food	1.0	4.767353165522502E-5
manufacturing	1.0	3.2310177705977385E-4
entrepreneur	1.0	7.142857142857143E-4
growing	1.0	0.0012706480304955528
shape	1.0	1.366867140513942E-4
stories	1.0	8.123476848090983E-4
dmg	1.0	0.0018281535648994515
systems	1.0	2.3137436372049977E-4
graham	1.0	3.2754667540124465E-4
intent	1.0	6.188118811881188E-4
reduction	1.0	1.8535681186283596E-4
vodou	1.0	0.0019305019305019305
aureus	1.0	0.0017921146953405018
mambo	1.0	0.0017605633802816902
sensitively	1.0	0.0015455950540958269
mosaic	1.0	9.578544061302681E-4
gear	1.0	3.2175032175032174E-4
likeand	1.0	0.001968503937007874
conserve	1.0	7.79423226812159E-4
httpwwwthepensionservicegovukhomeasp	1.0	0.001968503937007874
alarm	1.0	3.717472118959108E-4
reception	1.0	2.463054187192118E-4
output	1.0	1.7274140611504577E-4
lastly	1.0	0.001215066828675577
worse	1.0	8.019246190858059E-4
pitch	1.0	2.860411899313501E-4
befriending	1.0	0.0018656716417910447
thesiger	1.0	0.0019455252918287938
clearing	1.0	9.46073793755913E-4
stockbroker	1.0	0.001607717041800643
jersey	1.0	6.934812760055479E-4
pony	1.0	8.488964346349745E-4
june	1.0	5.206977349648529E-5
duration	1.0	3.6088054853843375E-4
walker	1.0	3.6036036036036037E-4
footwear	1.0	9.208103130755065E-4
protest	1.0	3.453038674033149E-4
israeli	1.0	5.52791597567717E-4
outbreak	1.0	6.353240152477764E-4
buytolet	1.0	0.0016366612111292963
signpost	1.0	8.532423208191126E-4
fulfil	1.0	5.485463521667581E-4
runner	1.0	5.268703898840885E-4
owen	1.0	5.885815185403178E-4
microsoft	1.0	2.2286605749944285E-4
noncompliance	1.0	0.0014265335235378032
speaker	1.0	1.7140898183064793E-4
scaa	1.0	0.0019193857965451055
upper	1.0	2.2825838849577722E-4
sharing	1.0	4.8192771084337347E-4
thomas	1.0	1.49812734082397E-4
religions	1.0	0.0017513134851138354
microbiologist	1.0	0.0017921146953405018
costello	1.0	0.0015772870662460567
ethicallyled	1.0	0.001968503937007874
tariff	1.0	7.961783439490446E-4
couple	1.0	9.136592051164915E-5
trader	1.0	5.402485143165856E-4
historical	1.0	1.5600624024960998E-4
constitute	1.0	3.194888178913738E-4
acceptance	1.0	4.45632798573975E-4
infections	1.0	0.0017985611510791368
availability	1.0	2.2568269013766644E-4
arts	1.0	2.8208744710860365E-4
invite	1.0	1.2496875781054737E-4
showcases	1.0	0.0019230769230769232
journalists	1.0	0.001557632398753894
proctor	1.0	0.0015923566878980893
hospitality	1.0	5.461496450027307E-4
eurolaw	1.0	0.001968503937007874
diary	1.0	3.3025099075297226E-4
initiatives	1.0	0.0012690355329949238
enquiring	1.0	0.001455604075691412
fight	1.0	1.1629259216187928E-4
cabin	1.0	6.752194463200541E-4
naea	1.0	0.0018115942028985507
chiropodist	1.0	0.0018181818181818182
showcase	1.0	5.353319057815846E-4
david	1.0	6.71366230278617E-5
creditworking	1.0	0.001968503937007874
reserve	1.0	1.2818869375721061E-4
advisers	1.0	0.001182033096926714
poor	1.0	8.834702712253733E-5
knowingly	1.0	0.0013679890560875513
regimen	1.0	0.0014749262536873156
wwwfishpublishingcom	1.0	0.0019646365422396855
derbyde	1.0	0.001968503937007874
wwwscitalkorguk	1.0	0.001968503937007874
interaction	1.0	2.1715526601520088E-4
tower	1.0	2.3696682464454977E-4
aching	1.0	0.001937984496124031
misleading	1.0	7.936507936507937E-4
illinformed	1.0	0.001851851851851852
