WORD	FREQ	JACCARD SIMILARITY
champions	1.0	9.832841691248771E-4
flippantly	1.0	0.0019723865877712033
wynne	1.0	0.0017211703958691911
swap	1.0	6.548788474132286E-4
amatuer	1.0	0.001953125
godley	1.0	0.0019047619047619048
conceptualise	1.0	0.0017035775127768314
carson	1.0	0.0014265335235378032
single	1.0	5.417118093174431E-5
inspectorate	1.0	0.0010214504596527069
variable	1.0	2.181976871045167E-4
bt	1.0	3.9154267815191856E-4
smugglers	1.0	0.0018726591760299626
fear	1.0	1.4118311449950587E-4
obligation	1.0	2.7307482250136535E-4
wrexham	1.0	0.0012077294685990338
shock	1.0	3.3500837520938025E-4
expose	1.0	2.8050490883590464E-4
solid	1.0	2.376425855513308E-4
facer	1.0	0.0019305019305019305
competitiveness	1.0	9.354536950420954E-4
melanie	1.0	0.0011976047904191617
disadvantaged	1.0	6.944444444444445E-4
gill	1.0	6.317119393556538E-4
depends	1.0	0.0019305019305019305
consequence	1.0	1.987281399046105E-4
deaf	1.0	4.957858205255329E-4
monday	1.0	1.1059500110595002E-4
happened	1.0	0.0018181818181818182
familial	1.0	0.0015384615384615385
deweyclass	1.0	0.001088139281828074
thursday	1.0	1.3049719431032232E-4
establishment	1.0	2.5746652935118434E-4
visual	1.0	1.7061934823408976E-4
salaam	1.0	0.0018050541516245488
brian	1.0	2.550369803621525E-4
niroi	1.0	0.00199203187250996
eea	1.0	0.0014184397163120568
timetable	1.0	4.1288191577208916E-4
san	1.0	3.856536829926726E-4
workshops	1.0	0.0010504201680672268
disruption	1.0	7.74593338497289E-4
default	1.0	2.288329519450801E-4
ifs	1.0	0.001440922190201729
criminology	1.0	0.0014005602240896359
unanimously	1.0	0.0011750881316098707
exploration	1.0	4.203446826397646E-4
commit	1.0	1.450747134774409E-4
internet	1.0	5.546927002440648E-5
phase	1.0	1.7117425539198904E-4
treasury	1.0	4.8756704046806434E-4
proposition	1.0	7.062146892655367E-4
oneweek	1.0	0.0017825311942959
benchmarking	1.0	0.0011876484560570072
weaponry	1.0	0.0015873015873015873
lend	1.0	5.55247084952804E-4
