WORD	FREQ	JACCARD SIMILARITY
president	1.0	1.294665976178146E-4
advocacy	1.0	7.79423226812159E-4
negative	1.0	2.296211251435132E-4
guarantee	1.0	1.602307322544464E-4
attendee	1.0	9.70873786407767E-4
deputy	1.0	2.983293556085919E-4
sarah	1.0	3.048780487804878E-4
oftel	1.0	0.0016155088852988692
largely	1.0	2.447381302006853E-4
distance	1.0	1.2743723716069835E-4
multimedia	1.0	4.063388866314506E-4
technologies	1.0	6.934812760055479E-4
preside	1.0	0.0012077294685990338
stereotype	1.0	0.0010235414534288639
engagement	1.0	3.966679888932963E-4
manchester	1.0	1.3753266400770182E-4
origin	1.0	2.284669865204478E-4
prospective	1.0	5.083884087442806E-4
httpwwwimdchwcy	1.0	0.001976284584980237
puset	1.0	0.0019646365422396855
excise	1.0	0.0010362694300518134
ruskin	1.0	0.0015503875968992248
exempt	1.0	5.896226415094339E-4
investor	1.0	3.4423407917383823E-4
prison	1.0	2.5759917568263783E-4
uwbs	1.0	0.001968503937007874
geraint	1.0	0.0016556291390728477
insure	1.0	7.668711656441718E-4
shortwave	1.0	0.0017271157167530224
kelvin	1.0	0.001326259946949602
biogeographical	1.0	0.0019193857965451055
aftercare	1.0	0.0015552099533437014
govt	1.0	0.0016025641025641025
summarise	1.0	5.221932114882506E-4
managerial	1.0	0.0010427528675703858
hyperlinks	1.0	0.0013568521031207597
concentrate	1.0	2.3792529145848205E-4
outlet	1.0	5.321979776476849E-4
pubmed	1.0	0.0012330456226880395
governing	1.0	0.0011148272017837235
excess	1.0	3.399048266485384E-4
oceds	1.0	0.001976284584980237
direction	1.0	1.1954572624028691E-4
remote	1.0	2.479543763947434E-4
gnvqs	1.0	0.0018315018315018315
subcorpora	1.0	0.00196078431372549
mapquest	1.0	0.0019047619047619048
reproduce	1.0	3.681885125184094E-4
orthoptic	1.0	0.001953125
timbers	1.0	0.001937984496124031
niche	1.0	8.333333333333334E-4
disrepute	1.0	0.0016722408026755853
shape	1.0	1.3672409078479628E-4
researchers	1.0	0.0015822784810126582
biographical	1.0	0.0011547344110854503
mobility	1.0	5.347593582887701E-4
consideration	1.0	1.63826998689384E-4
regions	1.0	0.0011614401858304297
groundwater	1.0	0.0013812154696132596
saturday	1.0	9.68429207824908E-5
liaise	1.0	8.230452674897119E-4
indirect	1.0	6.906077348066298E-4
enrol	1.0	0.0012468827930174563
real	1.0	5.0707367780538514E-5
commercialisation	1.0	0.0013333333333333333
practicebased	1.0	0.0016339869281045752
poverty	1.0	2.3946360153256704E-4
gatekeeper	1.0	0.0016155088852988692
majority	1.0	1.3917884481558804E-4
retention	1.0	5.624296962879641E-4
wwwciprcoukinternalcomms	1.0	0.001976284584980237
format	1.0	9.46969696969697E-5
supportive	1.0	5.668934240362812E-4
disappointed	1.0	0.0014285714285714286
isd	1.0	0.0017985611510791368
mixed	1.0	3.5739814152966406E-4
toefl	1.0	0.0016611295681063123
epilogue	1.0	0.001736111111111111
junior	1.0	2.918004085205719E-4
driver	1.0	1.188212927756654E-4
beds	1.0	0.0012610340479192938
ucas	1.0	9.250693802035153E-4
enrolment	1.0	0.00101010101010101
exhibition	1.0	1.4575134819997084E-4
shop	1.0	8.097165991902834E-5
convener	1.0	0.0012121212121212121
aejmc	1.0	0.001976284584980237
calling	1.0	8.396305625524769E-4
stipulate	1.0	0.001182033096926714
obstetrics	1.0	0.0015060240963855422
keele	1.0	0.001375515818431912
discounted	1.0	0.0011792452830188679
istructe	1.0	0.0018656716417910447
abstract	1.0	2.3474178403755868E-4
ryder	1.0	0.0013333333333333333
solution	1.0	7.469933517591694E-5
fulfil	1.0	5.491488193300384E-4
microsoft	1.0	2.229654403567447E-4
pool	1.0	1.633986928104575E-4
premium	1.0	3.595828838547285E-4
acquire	1.0	2.1101498206372652E-4
governors	1.0	0.0011061946902654867
cih	1.0	0.001949317738791423
mayjune	1.0	0.0014124293785310734
cit	1.0	9.523809523809524E-4
beginnings	1.0	0.0017391304347826088
ilthe	1.0	0.0019342359767891683
trader	1.0	5.408328826392645E-4
identity	1.0	1.7599436818021823E-4
acceptance	1.0	4.4603033006244426E-4
esrc	1.0	9.98003992015968E-4
analyse	1.0	2.6659557451346307E-4
multiple	1.0	1.9688915140775743E-4
dermatology	1.0	0.0015822784810126582
extensively	1.0	6.64451827242525E-4
wwwbadtcouk	1.0	0.001976284584980237
invite	1.0	1.25E-4
monitored	1.0	0.0017482517482517483
existingex	1.0	0.001976284584980237
adequately	1.0	7.434944237918215E-4
beginning	1.0	1.7825311942959E-4
protocol	1.0	2.932551319648094E-4
pressure	1.0	1.1161960040183056E-4
advisers	1.0	0.001184834123222749
reaction	1.0	2.2099447513812155E-4
graeme	1.0	0.0011574074074074073
biblioteca	1.0	0.0019011406844106464
wwwciwmcouk	1.0	0.001976284584980237
dissertation	1.0	4.784688995215311E-4
reserve	1.0	1.2822156686754713E-4
inquiries	1.0	0.001838235294117647
meldrum	1.0	0.0018281535648994515
tough	1.0	3.0413625304136254E-4
obtain	1.0	8.53315129277242E-5
mediumwave	1.0	0.001937984496124031
forecast	1.0	4.716981132075472E-4
wrong	1.0	1.1185682326621924E-4
proactively	1.0	0.0014534883720930232
inheritance	1.0	6.489292667099286E-4
undisclosed	1.0	0.0016638935108153079
asa	1.0	0.0011441647597254005
architectural	1.0	5.293806246691371E-4
experimental	1.0	3.9231071008238524E-4
art	1.0	4.912315174141573E-5
cedr	1.0	0.001579778830963665
commissioner	1.0	4.1017227235438887E-4
strength	1.0	1.5413070283600493E-4
trainers	1.0	0.0014792899408284023
kidney	1.0	7.621951219512195E-4
swindon	1.0	6.578947368421052E-4
periodical	1.0	9.699321047526673E-4
essay	1.0	2.687449610319806E-4
user	1.0	4.088474590130423E-5
lie	1.0	9.984025559105431E-5
approachable	1.0	0.001451378809869376
found	1.0	2.5201612903225806E-4
clients	1.0	0.001524390243902439
ucn	1.0	0.0017605633802816902
recoverable	1.0	0.0014771048744460858
ian	1.0	1.9704433497536947E-4
quango	1.0	0.0016313213703099511
handle	1.0	1.462629808395495E-4
active	1.0	1.233654083395016E-4
prosthetists	1.0	0.00196078431372549
symposium	1.0	7.022471910112359E-4
swe	1.0	0.0016611295681063123
fm	1.0	6.978367062107466E-4
