WORD	FREQ	JACCARD SIMILARITY
pharmacy	1.0	5.847953216374269E-4
plastic	1.0	2.8901734104046245E-4
advocacy	1.0	7.886435331230284E-4
petrol	1.0	5.875440658049354E-4
augment	1.0	0.0011507479861910242
+	1.0	7.822277847309137E-5
seattle	1.0	0.0011135857461024498
corrosive	1.0	0.0017605633802816902
strathclyde	1.0	9.487666034155598E-4
relaxation	1.0	7.507507507507507E-4
category	1.0	1.259287243420224E-4
crowd	1.0	2.5150905432595576E-4
berliner	1.0	0.001876172607879925
luncheon	1.0	0.0015552099533437014
onlysim	1.0	0.002036659877800407
ingenta	1.0	0.0019230769230769232
contractor	1.0	3.4328870580157915E-4
disabledgo	1.0	0.002012072434607646
advertisements	1.0	0.0018181818181818182
vamemail	1.0	0.002004008016032064
electric	1.0	2.785515320334262E-4
intute	1.0	0.0018867924528301887
proposed	1.0	0.001183431952662722
arrival	1.0	2.595380223202699E-4
businesslinkgovuk	1.0	0.0020325203252032522
buyer	1.0	3.2583903551645487E-4
possibility	1.0	1.670843776106934E-4
filter	1.0	3.013863773357444E-4
tearoom	1.0	0.0017241379310344827
chapman	1.0	9.208103130755065E-4
plymouth	1.0	5.72737686139748E-4
novartis	1.0	0.001567398119122257
properties	1.0	8.453085376162299E-4
nigeria	1.0	8.952551477170994E-4
earlyyearsleicestergovuk	1.0	0.0020242914979757085
photobucket	1.0	0.002012072434607646
mla	1.0	0.0013458950201884253
lifeskill	1.0	0.0020325203252032522
herts	1.0	9.689922480620155E-4
dedicated	1.0	3.506311360448808E-4
ophthalmologist	1.0	0.0017452006980802793
httpwwwnationalgalleryorguk	1.0	0.002036659877800407
wwwelectricityguideorguk	1.0	0.002036659877800407
workstation	1.0	9.182736455463728E-4
martial	1.0	9.587727708533077E-4
hearer	1.0	0.0016260162601626016
httpwwwqcaorgukageshtml	1.0	0.002036659877800407
mid	1.0	3.2175032175032174E-4
tameside	1.0	0.00141643059490085
wryoa	1.0	0.0020325203252032522
valuable	1.0	2.063983488132095E-4
governmentsponsored	1.0	0.0019011406844106464
gbp	1.0	7.830853563038371E-4
mit	1.0	0.001141552511415525
cater	1.0	4.44247001332741E-4
christmas	1.0	1.543448062972681E-4
ring	1.0	1.6286644951140066E-4
ypl	1.0	0.0019801980198019802
neesa	1.0	0.002036659877800407
heart	1.0	7.176175098672408E-5
prebook	1.0	0.001694915254237288
sighted	1.0	0.0015220700152207
welfare	1.0	2.2558087074216106E-4
museum	1.0	1.0254306808859722E-4
discount	1.0	2.390628735357399E-4
rde	1.0	0.0019723865877712033
interpreter	1.0	8.857395925597874E-4
consulting	1.0	6.485084306095979E-4
httpwwwearthworksjobscom	1.0	0.002036659877800407
hospitality	1.0	5.512679162072767E-4
postgraduate	1.0	2.354603249352484E-4
hiphop	1.0	0.0012953367875647669
homeowner	1.0	0.0011350737797956867
flooring	1.0	0.0010615711252653928
culturally	1.0	0.001145475372279496
boost	1.0	3.4638032559750607E-4
reserve	1.0	1.2846865364850977E-4
caf	1.0	5.913660555884093E-4
pension	1.0	1.678133915086424E-4
caller	1.0	8.149959250203749E-4
booth	1.0	8.748906386701663E-4
bargain	1.0	7.446016381236039E-4
emmaginnyahoocouk	1.0	0.002036659877800407
formation	1.0	2.7616680475006904E-4
insurer	1.0	5.941770647653001E-4
cohesion	1.0	0.0011668611435239206
moment	1.0	9.575792396820837E-5
keimos	1.0	0.0019455252918287938
konica	1.0	0.0019230769230769232
transmit	1.0	4.562043795620438E-4
talent	1.0	2.8336639274582036E-4
librariesleicestergovuk	1.0	0.002036659877800407
playscheme	1.0	0.0019157088122605363
offender	1.0	4.873294346978557E-4
alphabet	1.0	0.0011185682326621924
tim	1.0	3.006614552014432E-4
facilitation	1.0	0.0013513513513513514
homophobic	1.0	0.0015479876160990713
disbursement	1.0	0.0016420361247947454
tie	1.0	3.1776294884016526E-4
detailed	1.0	1.1921793037672866E-4
levitation	1.0	0.0018552875695732839
learner	1.0	2.875215641173088E-4
levenshulme	1.0	0.001968503937007874
success	1.0	7.477753682793689E-5
obtainable	1.0	0.0015151515151515152
oai	1.0	0.0019342359767891683
newham	1.0	0.001379310344827586
agricultural	1.0	2.818489289740699E-4
similar	1.0	7.254788160185723E-5
extended	1.0	3.979307600477517E-4
boarding	1.0	0.0017667844522968198
decorate	1.0	4.975124378109452E-4
sessions	1.0	0.0010741138560687433
lawworks	1.0	0.002012072434607646
globe	1.0	5.76036866359447E-4
clock	1.0	3.7355248412401944E-4
tom	1.0	2.081165452653486E-4
residency	1.0	0.001075268817204301
pokeman	1.0	0.002036659877800407
wwwleicestergovuklibraries	1.0	0.002036659877800407
gospel	1.0	3.473428273706148E-4
genetic	1.0	3.083564600678384E-4
perception	1.0	3.0048076923076925E-4
socially	1.0	6.788866259334691E-4
due	1.0	5.5567903978661923E-5
differ	1.0	3.2797638570022957E-4
sheltered	1.0	0.001004016064257028
reader	1.0	1.0407993338884263E-4
unpleasant	1.0	9.823182711198428E-4
pre	1.0	5.675368898978433E-4
architect	1.0	4.49842555105713E-4
fytton	1.0	0.002012072434607646
pro	1.0	2.973535533749628E-4
voucher	1.0	6.097560975609756E-4
bypass	1.0	6.97350069735007E-4
count	1.0	1.6688918558077436E-4
timer	1.0	0.0010309278350515464
bespoke	1.0	8.244023083264633E-4
dark	1.0	1.6265452179570593E-4
browse	1.0	3.9635354736424893E-4
youthadult	1.0	0.002036659877800407
tomlinson	1.0	0.001422475106685633
mug	1.0	0.0010570824524312897
competition	1.0	1.011326860841424E-4
involvement	1.0	2.1551724137931034E-4
centred	1.0	0.001876172607879925
sainsbury	1.0	8.635578583765112E-4
portable	1.0	5.138746145940391E-4
sikh	1.0	0.0014204545454545455
centres	1.0	5.54016620498615E-4
topsham	1.0	0.0018832391713747645
documentation	1.0	2.9770765108663293E-4
expense	1.0	2.28675966155957E-4
yamaha	1.0	0.0012033694344163659
pwp	1.0	0.0020161290322580645
highland	1.0	4.361098996947231E-4
replace	1.0	1.1457378551787351E-4
craft	1.0	2.896032435563278E-4
ideasafe	1.0	0.0020325203252032522
navigate	1.0	6.373486297004461E-4
msa	1.0	0.0017482517482517483
satellife	1.0	0.002036659877800407
perk	1.0	0.001589825119236884
lawfully	1.0	0.0015313935681470138
issues	1.0	5.382131324004305E-4
bethel	1.0	0.0017605633802816902
uganda	1.0	0.001049317943336831
alleged	1.0	7.331378299120235E-4
syndicateships	1.0	0.002036659877800407
usual	1.0	1.8528812303131369E-4
conflict	1.0	1.9065776930409913E-4
independence	1.0	3.898635477582846E-4
leading	1.0	1.4900908955446283E-4
floor	1.0	1.0466820180029308E-4
womens	1.0	9.49667616334283E-4
stick	1.0	1.7803097739006588E-4
rover	1.0	6.983240223463687E-4
buildings	1.0	7.593014426727411E-4
redhill	1.0	0.0017421602787456446
trenchard	1.0	0.001996007984031936
goodison	1.0	0.0018281535648994515
moatwithington	1.0	0.002036659877800407
minimal	1.0	5.470459518599562E-4
collaborative	1.0	4.106776180698152E-4
rise	1.0	7.968127490039841E-5
ladieschildren	1.0	0.002036659877800407
grassroots	1.0	0.0011363636363636363
fundraising	1.0	5.793742757821553E-4
limeplastered	1.0	0.002036659877800407
tmobile	1.0	0.0015408320493066256
wwweconomistcom	1.0	0.0020325203252032522
dataset	1.0	0.0011025358324145535
accessible	1.0	1.9353590090961874E-4
games	1.0	3.419972640218878E-4
certification	1.0	5.714285714285715E-4
httpwwwstudylinkcom	1.0	0.002036659877800407
dialog	1.0	9.363295880149813E-4
alongside	1.0	2.358490566037736E-4
roby	1.0	0.0020161290322580645
scholarship	1.0	4.0016006402561027E-4
kiosks	1.0	0.002004008016032064
jccc	1.0	0.002028397565922921
