WORD	FREQ	JACCARD SIMILARITY
newcomer	1.0	9.066183136899365E-4
computerise	1.0	0.0011441647597254005
scientifique	1.0	0.0018796992481203006
lady	1.0	1.779676098949991E-4
religion	1.0	1.9406171162429653E-4
greg	1.0	7.451564828614009E-4
morocco	1.0	0.0011337868480725624
echo	1.0	4.710315591144607E-4
ron	1.0	7.117437722419929E-4
iwa	1.0	0.0014367816091954023
stratify	1.0	0.0017421602787456446
structure	1.0	6.421782686873876E-5
despair	1.0	8.547008547008547E-4
consort	1.0	0.0015082956259426848
pretend	1.0	7.052186177715092E-4
surface	1.0	1.295840352468576E-4
descendant	1.0	9.75609756097561E-4
sharp	1.0	3.368137420006736E-4
likewise	1.0	6.747638326585695E-4
dig	1.0	4.2158516020236085E-4
die	1.0	7.605141075366947E-5
httpwwwpublicdebatecomaucgibinviewvote	1.0	0.002036659877800407
articulate	1.0	7.369196757553427E-4
contingent	1.0	0.001026694045174538
sands	1.0	0.0011185682326621924
invaluable	1.0	5.966587112171838E-4
stark	1.0	0.0011299435028248588
son	1.0	9.870693909781858E-5
wmd	1.0	0.001466275659824047
certificate	1.0	1.6390755613833797E-4
sport	1.0	8.964589870013447E-5
headline	1.0	4.608294930875576E-4
graduate	1.0	1.3885031935573453E-4
dahl	1.0	0.0017123287671232876
inconvenience	1.0	0.0010224948875255625
propertied	1.0	0.002012072434607646
sculpture	1.0	5.122950819672131E-4
talented	1.0	5.586592178770949E-4
bombardment	1.0	0.0015290519877675841
postmodernity	1.0	0.0017889087656529517
overseas	1.0	2.3832221163012392E-4
skyhigh	1.0	0.0019569471624266144
ofcoms	1.0	0.002036659877800407
collective	1.0	3.97456279809221E-4
symbol	1.0	3.486750348675035E-4
stride	1.0	9.80392156862745E-4
russian	1.0	2.969121140142518E-4
cyberspace	1.0	0.0011947431302270011
dedicated	1.0	3.506311360448808E-4
saving	1.0	2.390057361376673E-4
conclusion	1.0	1.6972165648336727E-4
ackland	1.0	0.00199203187250996
gladwell	1.0	0.0019569471624266144
concepts	1.0	0.0015360983102918587
strict	1.0	4.6490004649000463E-4
rhetorical	1.0	0.0015337423312883436
postjungian	1.0	0.002036659877800407
mutual	1.0	4.62962962962963E-4
mama	1.0	0.0014064697609001407
confident	1.0	3.1055900621118014E-4
ethic	1.0	5.128205128205128E-4
proeuropeans	1.0	0.001984126984126984
purposes	1.0	0.0013550135501355014
hamster	1.0	0.0012987012987012987
boroughs	1.0	0.0015503875968992248
wolfendale	1.0	0.002012072434607646
launches	1.0	0.0014326647564469914
bike	1.0	2.2857142857142857E-4
identity	1.0	1.764602082230457E-4
ranters	1.0	0.00196078431372549
mongering	1.0	0.0019723865877712033
records	1.0	3.4626038781163435E-4
mister	1.0	0.0015503875968992248
odeon	1.0	0.001669449081803005
fallacious	1.0	0.0019342359767891683
genuine	1.0	3.5423308537017357E-4
estelle	1.0	0.0017331022530329288
bushby	1.0	0.0020161290322580645
httprepresentativepressblogspotcommanipulatingpublicopinionhtml	1.0	0.002036659877800407
competitive	1.0	2.4685262898049864E-4
overwhelming	1.0	7.401924500370096E-4
slowly	1.0	3.3444816053511704E-4
pit	1.0	3.951007506914263E-4
stafford	1.0	0.0010857763300760044
cede	1.0	0.001763668430335097
readily	1.0	4.7596382674916705E-4
navy	1.0	4.99001996007984E-4
cohesion	1.0	0.0011668611435239206
consistent	1.0	2.9036004645760743E-4
danishstyle	1.0	0.002036659877800407
armed	1.0	5.181347150259067E-4
plenty	1.0	2.022653721682848E-4
pictures	1.0	7.867820613690008E-4
earn	1.0	2.4752475247524753E-4
antiroad	1.0	0.00202020202020202
weldon	1.0	0.001834862385321101
italian	1.0	2.8392958546280523E-4
clogging	1.0	0.002036659877800407
jsut	1.0	0.001949317738791423
excite	1.0	5.980861244019139E-4
muslim	1.0	3.679175864606328E-4
indicative	1.0	0.0010649627263045794
obstacle	1.0	6.43915003219575E-4
lawfully	1.0	0.0015313935681470138
hartz	1.0	0.0020161290322580645
groundless	1.0	0.0019305019305019305
customer	1.0	5.1668905652578275E-5
mask	1.0	5.227391531625719E-4
brazilian	1.0	9.132420091324201E-4
attachment	1.0	5.162622612287042E-4
nonstandard	1.0	0.0014104372355430183
principles	1.0	9.328358208955224E-4
apparent	1.0	3.480682213713888E-4
shakepeare	1.0	0.002004008016032064
dunkirk	1.0	0.0015384615384615385
instruction	1.0	1.6719612104999163E-4
antivivisection	1.0	0.00196078431372549
conscription	1.0	0.0018248175182481751
rdn	1.0	0.0017857142857142857
socrateserasmus	1.0	0.0018975332068311196
scent	1.0	9.541984732824427E-4
emergence	1.0	7.776049766718507E-4
repercussion	1.0	0.0015479876160990713
geneticallyengineered	1.0	0.002004008016032064
acquit	1.0	0.0015432098765432098
achievement	1.0	1.9036740909956216E-4
acrobat	1.0	4.201680672268908E-4
mark	1.0	5.447513210219535E-5
pundit	1.0	0.0016155088852988692
midlothian	1.0	0.0015822784810126582
unwinnable	1.0	0.0020161290322580645
conflictrelated	1.0	0.0020325203252032522
presentation	1.0	1.1270145384875464E-4
alternative	1.0	1.048987726843596E-4
virulent	1.0	0.0017825311942959
zealand	1.0	3.8580246913580245E-4
surprising	1.0	5.138746145940391E-4
sosig	1.0	0.0017761989342806395
frankenstein	1.0	0.0016260162601626016
expand	1.0	1.8779342723004695E-4
jane	1.0	3.372681281618887E-4
antihunt	1.0	0.002008032128514056
decide	1.0	6.019382411364594E-5
heads	1.0	9.596928982725527E-4
alignment	1.0	7.457121551081282E-4
contemptuous	1.0	0.0019011406844106464
alosboa	1.0	0.002036659877800407
clinical	1.0	1.3408420488066506E-4
bentham	1.0	0.001697792869269949
quiet	1.0	2.3062730627306272E-4
blog	1.0	4.068348250610252E-4
badger	1.0	9.337068160597573E-4
eid	1.0	0.0018315018315018315
vein	1.0	7.716049382716049E-4
temple	1.0	3.4317089910775565E-4
confirm	1.0	1.243781094527363E-4
observable	1.0	0.001594896331738437
infrastructure	1.0	2.538071065989848E-4
dog	1.0	1.2963443090484831E-4
fruition	1.0	0.0015772870662460567
relationship	1.0	7.544892108042855E-5
usual	1.0	1.8528812303131369E-4
pricing	1.0	5.189413596263622E-4
msc	1.0	4.828585224529213E-4
numbers	1.0	8.680555555555555E-4
dna	1.0	4.657661853749418E-4
chick	1.0	0.0011350737797956867
proeuropean	1.0	0.001937984496124031
quote	1.0	1.1712344811431249E-4
vietnam	1.0	8.605851979345956E-4
standby	1.0	0.0012004801920768306
simple	1.0	6.881365262868153E-5
tradition	1.0	1.936108422071636E-4
spinoff	1.0	0.001488095238095238
commenter	1.0	0.001976284584980237
easton	1.0	0.0016181229773462784
survival	1.0	3.9556962025316455E-4
basic	1.0	8.512087163772556E-5
michele	1.0	0.0015873015873015873
merlyn	1.0	0.0018587360594795538
pica	1.0	0.001949317738791423
unquestionably	1.0	0.0017211703958691911
surprise	1.0	1.8188432157148054E-4
vision	1.0	1.541782300339192E-4
kilbride	1.0	0.0017123287671232876
williams	1.0	2.6867275658248256E-4
multiplicative	1.0	0.0019011406844106464
option	1.0	6.220452848967405E-5
appraisal	1.0	5.903187721369539E-4
fertility	1.0	9.31098696461825E-4
militarycom	1.0	0.0020325203252032522
collaborative	1.0	4.106776180698152E-4
brainwash	1.0	0.0018018018018018018
critic	1.0	4.631773969430292E-4
egypt	1.0	4.725897920604915E-4
undergraduates	1.0	0.001869158878504673
pharming	1.0	0.002012072434607646
doctorate	1.0	0.0012121212121212121
craven	1.0	0.001314060446780552
plants	1.0	0.0010869565217391304
certification	1.0	5.714285714285715E-4
turkey	1.0	4.4543429844097997E-4
nationstate	1.0	0.0017241379310344827
nil	1.0	0.0012804097311139564
photograph	1.0	1.4035087719298245E-4
transition	1.0	3.417634996582365E-4
httprepresentativepressblogspotcomgorillainroomisussupportforhtml	1.0	0.002036659877800407
inchoate	1.0	0.0019801980198019802
americas	1.0	0.0018214936247723133
higher	1.0	2.4993751562109475E-4
aggression	1.0	9.75609756097561E-4
tobacco	1.0	5.574136008918618E-4
telecommunication	1.0	0.001128668171557562
inability	1.0	8.561643835616438E-4
hegemony	1.0	0.001466275659824047
japan	1.0	2.690341673392521E-4
discharge	1.0	4.0290088638195E-4
accuracy	1.0	3.68052999631947E-4
repeated	1.0	8.635578583765112E-4
volunteer	1.0	1.2156576707999027E-4
httpwwwamconmagcomcoverhtml	1.0	0.002036659877800407
ordinary	1.0	2.6164311878597594E-4
observational	1.0	0.0013774104683195593
liberation	1.0	9.041591320072332E-4
unnecessary	1.0	5.602240896358543E-4
malaysia	1.0	0.0010235414534288639
unchanged	1.0	9.267840593141798E-4
parent	1.0	6.646284726837697E-5
attract	1.0	1.8047283883775492E-4
aalberg	1.0	0.002036659877800407
scene	1.0	1.2594458438287153E-4
credit	1.0	8.077544426494346E-5
historian	1.0	4.5351473922902497E-4
qualified	1.0	4.34593654932638E-4
paxton	1.0	0.0017391304347826088
scenario	1.0	3.853564547206166E-4
sociologist	1.0	0.0015105740181268882
nias	1.0	0.0019723865877712033
eibe	1.0	0.00202020202020202
hedgehog	1.0	0.0014184397163120568
insert	1.0	3.4153005464480874E-4
classroombased	1.0	0.0019193857965451055
marriage	1.0	2.3798191337458352E-4
pscicom	1.0	0.00202020202020202
computer	1.0	5.4498882772903156E-5
testament	1.0	4.1911148365465214E-4
emission	1.0	3.418803418803419E-4
fouling	1.0	0.00196078431372549
sengenberger	1.0	0.002012072434607646
realism	1.0	0.0010660980810234541
permit	1.0	1.7167381974248928E-4
harmony	1.0	6.289308176100629E-4
busy	1.0	2.0521239482864764E-4
trouble	1.0	2.213368747233289E-4
chelmsford	1.0	0.001122334455667789
missile	1.0	5.310674455655868E-4
intervention	1.0	2.748763056624519E-4
outincluding	1.0	0.002036659877800407
deeply	1.0	4.428697962798937E-4
unaided	1.0	0.0017452006980802793
httpwwwqueensucacora	1.0	0.002036659877800407
firmly	1.0	5.219206680584551E-4
taylor	1.0	3.068425897514575E-4
fashion	1.0	2.3196474135931338E-4
antibypass	1.0	0.0020325203252032522
foilowing	1.0	0.002036659877800407
prise	1.0	2.2851919561243144E-4
lawrence	1.0	5.52791597567717E-4
metal	1.0	2.3153507756425097E-4
wrath	1.0	0.001152073732718894
humane	1.0	0.001256281407035176
dictatorship	1.0	0.0012453300124533001
sooner	1.0	7.686395080707148E-4
ultraextremists	1.0	0.002036659877800407
lebanese	1.0	0.001519756838905775
possession	1.0	3.417634996582365E-4
ceaseless	1.0	0.001893939393939394
tsifrakh	1.0	0.002036659877800407
methods	1.0	7.955449482895784E-4
gmos	1.0	0.001483679525222552
lecture	1.0	1.5651901706057285E-4
whip	1.0	9.049773755656109E-4
considerable	1.0	2.092925910422771E-4
intimidate	1.0	0.0012547051442910915
barrier	1.0	2.8538812785388126E-4
heritage	1.0	1.8864365214110544E-4
pupils	1.0	0.0013717421124828531
columnist	1.0	0.001336898395721925
neoliberal	1.0	0.001524390243902439
imagine	1.0	2.2967386311437759E-4
kingston	1.0	7.886435331230284E-4
doctor	1.0	1.1570056693277797E-4
harman	1.0	0.0016638935108153079
facto	1.0	0.0013568521031207597
suspicion	1.0	7.31528895391368E-4
eco	1.0	0.0013280212483399733
stovall	1.0	0.0020242914979757085
emotional	1.0	3.151591553734636E-4
nationwide	1.0	5.50357732526142E-4
thinker	1.0	0.0010080645161290322
nowgen	1.0	0.002012072434607646
stimulate	1.0	4.3252595155709344E-4
diplomatic	1.0	9.514747859181732E-4
dignified	1.0	0.001567398119122257
affairs	1.0	4.246284501061571E-4
maker	1.0	3.21853878339234E-4
broadcasting	1.0	6.430868167202572E-4
moiseev	1.0	0.0020161290322580645
gather	1.0	2.3272050267628578E-4
toennies	1.0	0.002036659877800407
gen	1.0	0.0011750881316098707
eds	1.0	5.602240896358543E-4
refugee	1.0	3.9936102236421724E-4
swim	1.0	4.3308791684711995E-4
occasionally	1.0	3.6643459142543056E-4
funder	1.0	9.560229445506692E-4
podcast	1.0	0.001176470588235294
pyka	1.0	0.002036659877800407
proclaim	1.0	8.665511265164644E-4
adapt	1.0	2.8620492272467084E-4
dealing	1.0	7.163323782234957E-4
mcclear	1.0	0.002036659877800407
parish	1.0	1.6733601070950468E-4
edm	1.0	0.0016501650165016502
lurch	1.0	0.0017241379310344827
embryo	1.0	9.267840593141798E-4
handicap	1.0	9.49667616334283E-4
revisionist	1.0	0.001718213058419244
portrait	1.0	4.716981132075472E-4
sets	1.0	0.0013550135501355014
herts	1.0	9.689922480620155E-4
lloyd	1.0	6.257822277847309E-4
irresponsible	1.0	0.0013192612137203166
impossibility	1.0	0.0015037593984962407
odd	1.0	2.73000273000273E-4
sett	1.0	0.001652892561983471
difference	1.0	8.108327252087895E-5
reflection	1.0	3.661662394727206E-4
neck	1.0	4.3346337234503684E-4
propagate	1.0	0.0012658227848101266
mcs	1.0	0.0016778523489932886
sake	1.0	5.973715651135006E-4
childhood	1.0	4.0192926045016077E-4
aware	1.0	1.2836970474967908E-4
abroad	1.0	2.687449610319806E-4
heroic	1.0	0.0011682242990654205
mres	1.0	0.0018484288354898336
amalgamation	1.0	0.0015015015015015015
heinous	1.0	0.001834862385321101
disagreeable	1.0	0.0018587360594795538
awards	1.0	3.1756113051762465E-4
wolff	1.0	0.0016611295681063123
safely	1.0	4.5372050816696913E-4
peal	1.0	0.0015873015873015873
doubly	1.0	0.0016207455429497568
allied	1.0	9.75609756097561E-4
assistance	1.0	1.950458357714063E-4
disintegrate	1.0	0.001557632398753894
deplore	1.0	0.0016556291390728477
moaddel	1.0	0.0020325203252032522
exorcise	1.0	0.0019047619047619048
photonics	1.0	0.0017953321364452424
nonscientist	1.0	0.001984126984126984
propertyowners	1.0	0.002028397565922921
inbound	1.0	0.0015503875968992248
competence	1.0	5.399568034557236E-4
nofly	1.0	0.0017825311942959
style	1.0	7.679311933650745E-5
questioning	1.0	0.001736111111111111
encroachment	1.0	0.001584786053882726
stamp	1.0	4.1322314049586776E-4
premise	1.0	2.2163120567375886E-4
objection	1.0	5.470459518599562E-4
determinant	1.0	0.0013192612137203166
cat	1.0	1.967342120794806E-4
mission	1.0	1.8642803877703205E-4
hospital	1.0	7.750135627373479E-5
cap	1.0	3.7383177570093456E-4
uists	1.0	0.00199203187250996
morality	1.0	8.77963125548727E-4
outburst	1.0	0.0015822784810126582
stringent	1.0	0.0011904761904761906
patriot	1.0	0.0014245014245014246
choke	1.0	0.0010683760683760685
conduit	1.0	0.0013404825737265416
ignited	1.0	0.002028397565922921
hardline	1.0	0.0018148820326678765
oblivious	1.0	0.0015923566878980893
curb	1.0	0.0012738853503184713
accounting	1.0	3.635041802980734E-4
league	1.0	1.7546938059308652E-4
monstrosity	1.0	0.0018450184501845018
evict	1.0	0.001375515818431912
yasukuni	1.0	0.002012072434607646
restorative	1.0	0.0016181229773462784
radiotype	1.0	0.002036659877800407
landon	1.0	0.0019880715705765406
arbiter	1.0	0.0017699115044247787
histrionics	1.0	0.001984126984126984
significantly	1.0	2.5713551041398817E-4
feminism	1.0	0.001451378809869376
overstate	1.0	0.001639344262295082
pretence	1.0	0.001589825119236884
ointless	1.0	0.002036659877800407
uhr	1.0	0.0019305019305019305
greece	1.0	6.203473945409429E-4
central	1.0	6.855419208884623E-5
excerpt	1.0	0.0011737089201877935
definition	1.0	1.786352268667381E-4
services	1.0	7.932730445819452E-5
feminist	1.0	0.0011086474501108647
rink	1.0	0.0015479876160990713
czech	1.0	7.293946024799417E-4
couple	1.0	9.150805270863836E-5
explicitly	1.0	6.863417982155113E-4
deportation	1.0	0.0013736263736263737
tourism	1.0	3.169572107765452E-4
affair	1.0	2.756339581036384E-4
drugscope	1.0	0.0018975332068311196
goahead	1.0	0.001519756838905775
copenhagen	1.0	0.0011235955056179776
purpose	1.0	6.161049842893228E-5
museum	1.0	1.0254306808859722E-4
massmovements	1.0	0.002036659877800407
inspector	1.0	3.563791874554526E-4
passionate	1.0	7.31528895391368E-4
output	1.0	1.7325017325017325E-4
sickness	1.0	7.012622720897616E-4
turkish	1.0	7.429420505200594E-4
reference	1.0	6.74399784192069E-5
gas	1.0	1.465845793022574E-4
cid	1.0	0.0016835016835016834
biography	1.0	5.175983436853002E-4
workrelated	1.0	0.0013123359580052493
moste	1.0	0.00202020202020202
tables	1.0	0.0011013215859030838
postgraduate	1.0	2.354603249352484E-4
underestimate	1.0	0.0010070493454179255
gay	1.0	3.473428273706148E-4
carriage	1.0	5.455537370430987E-4
beseech	1.0	0.0017825311942959
llm	1.0	0.001718213058419244
alliotmarie	1.0	0.002028397565922921
cbe	1.0	0.0012919896640826874
swell	1.0	8.333333333333334E-4
austria	1.0	6.868131868131869E-4
pri	1.0	0.0018867924528301887
radar	1.0	6.734006734006734E-4
gap	1.0	1.9569471624266145E-4
fulcrum	1.0	0.0017857142857142857
mamsc	1.0	0.001968503937007874
puset	1.0	0.0020242914979757085
talent	1.0	2.8336639274582036E-4
abstinence	1.0	0.0016638935108153079
yob	1.0	0.0017482517482517483
prison	1.0	2.585983966899405E-4
riot	1.0	8.47457627118644E-4
closer	1.0	4.921259842519685E-4
landowners	1.0	0.0018726591760299626
trove	1.0	0.0017889087656529517
siberian	1.0	0.0016638935108153079
carroll	1.0	0.0011376564277588168
nurture	1.0	8.56898029134533E-4
return	1.0	3.2617913758236024E-5
pavilion	1.0	9.398496240601503E-4
cases	1.0	0.001183431952662722
anthony	1.0	4.585052728106373E-4
mattron	1.0	0.002036659877800407
module	1.0	1.172882946281961E-4
convene	1.0	0.0010050251256281408
emailed	1.0	8.410428931875525E-4
attitudinal	1.0	0.0018656716417910447
itwhatever	1.0	0.0020325203252032522
posh	1.0	0.0012315270935960591
similar	1.0	7.254788160185723E-5
+	1.0	7.822277847309137E-5
mathematics	1.0	2.979737783075089E-4
zealot	1.0	0.0017985611510791368
extremist	1.0	0.001184834123222749
tourist	1.0	2.861230329041488E-4
adverse	1.0	5.330490405117271E-4
cultural	1.0	1.2750223128904755E-4
involvement	1.0	2.1551724137931034E-4
remove	1.0	8.466683600033866E-5
mohammed	1.0	0.0011467889908256881
straightforward	1.0	5.678591709256105E-4
utilize	1.0	9.285051067780873E-4
nightmare	1.0	7.722007722007722E-4
travis	1.0	0.001488095238095238
huge	1.0	1.2169891687963977E-4
hugo	1.0	0.001277139208173691
forefront	1.0	8.771929824561404E-4
files	1.0	8.326394671107411E-4
platform	1.0	2.1344717182497332E-4
spatial	1.0	5.991611743559018E-4
blame	1.0	3.9154267815191856E-4
msps	1.0	0.0015082956259426848
benrik	1.0	0.0020325203252032522
residence	1.0	3.897116134060795E-4
loyalty	1.0	6.954102920723226E-4
imperial	1.0	4.854368932038835E-4
tree	1.0	9.937394415184339E-5
voucher	1.0	6.097560975609756E-4
standing	1.0	3.1220730565095225E-4
unifying	1.0	0.0017006802721088435
nofur	1.0	0.0020325203252032522
wales	1.0	8.227743952608195E-5
sustain	1.0	3.852080123266564E-4
