WORD	FREQ	JACCARD SIMILARITY
toke	1.0	0.0019083969465648854
resins	1.0	0.001949317738791423
basgen	1.0	0.001953125
answer	1.0	6.01286753652817E-5
proffer	1.0	0.001692047377326565
geophysical	1.0	0.0014005602240896359
composition	1.0	3.696857670979667E-4
sterling	1.0	6.697923643670462E-4
metabolism	1.0	0.001075268817204301
iwpp	1.0	0.001953125
sea	1.0	9.714396735962697E-5
kinds	1.0	0.0018083182640144665
destine	1.0	0.0010256410256410256
housekeeping	1.0	0.0014388489208633094
origin	1.0	2.2825838849577722E-4
epoch	1.0	0.0014104372355430183
culinary	1.0	0.0012658227848101266
prejudge	1.0	0.0018726591760299626
team	1.0	2.797907165440251E-5
valley	1.0	1.7029972752043596E-4
attitude	1.0	1.8730099269526128E-4
mnc	1.0	0.001937984496124031
gland	1.0	0.0010362694300518134
slop	1.0	0.001841620626151013
andy	1.0	2.6308866087871614E-4
dip	1.0	6.369426751592356E-4
predominantly	1.0	7.558578987150416E-4
oilimport	1.0	0.00196078431372549
invaluable	1.0	5.899705014749262E-4
jebel	1.0	0.0018552875695732839
genuine	1.0	3.518648838845883E-4
constituent	1.0	7.012622720897616E-4
treat	1.0	9.810654370646523E-5
workrate	1.0	0.0018796992481203006
hypothetical	1.0	0.001287001287001287
hybrid	1.0	6.57030223390276E-4
explanatory	1.0	0.0010214504596527069
tuesday	1.0	1.408649105507818E-4
works	1.0	4.657661853749418E-4
diminish	1.0	7.84313725490196E-4
pseudonyms	1.0	0.00196078431372549
watches	1.0	0.0017761989342806395
longlasting	1.0	0.0015625
hazardous	1.0	7.564296520423601E-4
engaging	1.0	9.587727708533077E-4
sec	1.0	7.262164124909223E-4
readily	1.0	4.716981132075472E-4
ease	1.0	3.179650238473768E-4
mint	1.0	9.25925925925926E-4
refinish	1.0	0.0019193857965451055
tomlinson	1.0	0.0013850415512465374
kill	1.0	1.181753722524226E-4
tel	1.0	9.873617693522907E-5
davidson	1.0	0.0010471204188481676
digest	1.0	8.084074373484236E-4
joinery	1.0	0.001652892561983471
subhimalayan	1.0	0.001949317738791423
ideology	1.0	7.727975270479134E-4
confidence	1.0	1.5969338869370808E-4
crosscontamination	1.0	0.001876172607879925
path	1.0	1.4742739200943535E-4
ubiquitous	1.0	0.001176470588235294
wrought	1.0	0.0012642225031605564
larry	1.0	0.0010660980810234541
deutschland	1.0	0.0017211703958691911
dwelling	1.0	5.793742757821553E-4
reliance	1.0	8.488964346349745E-4
respiration	1.0	0.0015220700152207
vacuum	1.0	8.46740050804403E-4
shuffle	1.0	0.0012315270935960591
revise	1.0	2.7739251040221914E-4
refine	1.0	7.782101167315176E-4
