WORD	FREQ	JACCARD SIMILARITY
brave	1.0	6.12369871402327E-4
harper	1.0	9.775171065493646E-4
biff	1.0	0.001869158878504673
xgflash	1.0	0.0020
sanjay	1.0	0.0019047619047619048
username	1.0	7.25689404934688E-4
djs	1.0	0.001256281407035176
technologies	1.0	6.983240223463687E-4
governments	1.0	8.680555555555555E-4
localized	1.0	0.0017391304347826088
shock	1.0	3.356831151393085E-4
women	1.0	3.365870077415012E-4
kiki	1.0	0.0018248175182481751
cage	1.0	7.147962830593281E-4
quality	1.0	3.684734146431335E-5
origin	1.0	2.289901534234028E-4
timetabling	1.0	0.0016313213703099511
campbell	1.0	5.370569280343716E-4
understand	1.0	5.577867023650156E-5
enemy	1.0	2.678810608090008E-4
kjf	1.0	0.002012072434607646
die	1.0	7.60225026607876E-5
morning	1.0	9.318796011555308E-5
beneficial	1.0	4.714757190004715E-4
cohen	1.0	0.001059322033898305
morse	1.0	0.0014184397163120568
ass	1.0	0.0010559662090813093
jewish	1.0	3.2425421530479895E-4
wylie	1.0	0.0018115942028985507
push	1.0	1.7979144192736425E-4
direction	1.0	1.1968880909634949E-4
georgi	1.0	0.0019723865877712033
dio	1.0	0.0018181818181818182
vulnerable	1.0	3.785011355034065E-4
mesika	1.0	0.0020161290322580645
diane	1.0	0.0010660980810234541
hunting	1.0	4.8661800486618007E-4
selfmanagement	1.0	0.0017605633802816902
specifications	1.0	0.0014771048744460858
xxx	1.0	8.904719501335708E-4
weekday	1.0	0.0010638297872340426
interactive	1.0	2.1710811984368216E-4
dlx	1.0	0.0019880715705765406
collective	1.0	3.966679888932963E-4
diana	1.0	8.818342151675485E-4
hitori	1.0	0.0019267822736030828
sandi	1.0	0.0018450184501845018
dkj	1.0	0.0020161290322580645
robbie	1.0	9.345794392523365E-4
floorcoverings	1.0	0.001953125
writings	1.0	0.0016025641025641025
prosecution	1.0	5.224660397074191E-4
sequence	1.0	2.0946795140343527E-4
fresh	1.0	1.8125793003443902E-4
flamboyant	1.0	0.0016207455429497568
usher	1.0	0.0012578616352201257
kumar	1.0	0.0016286644951140066
biel	1.0	0.00196078431372549
mulroney	1.0	0.0019723865877712033
password	1.0	2.1810250817884405E-4
naruse	1.0	0.002012072434607646
astrazeneca	1.0	0.0017123287671232876
fryers	1.0	0.001976284584980237
kill	1.0	1.1837121212121212E-4
gauthier	1.0	0.0019569471624266144
semta	1.0	0.001949317738791423
tygerberg	1.0	0.002008032128514056
dancefloor	1.0	0.0016313213703099511
spirit	1.0	1.2933264355923435E-4
hugely	1.0	7.462686567164179E-4
orphen	1.0	0.002012072434607646
lyric	1.0	6.009615384615385E-4
breakers	1.0	0.0019455252918287938
princess	1.0	5.425935973955507E-4
lady	1.0	1.7780938833570413E-4
brenna	1.0	0.001984126984126984
scandinavia	1.0	0.0014084507042253522
abercromby	1.0	0.0017889087656529517
cities	1.0	0.001081081081081081
amazoncom	1.0	0.001199040767386091
ya	1.0	0.0010438413361169101
summat	1.0	0.0019267822736030828
lock	1.0	1.847063169560399E-4
brit	1.0	0.001004016064257028
crmcd	1.0	0.0020161290322580645
applied	1.0	5.952380952380953E-4
kerr	1.0	0.0012987012987012987
speaker	1.0	1.7176228100309173E-4
drinking	1.0	4.4483985765124553E-4
adventurecomedy	1.0	0.0020161290322580645
aug	1.0	2.583311805734952E-4
popstars	1.0	0.0019342359767891683
hotshot	1.0	0.0019267822736030828
boots	1.0	0.0011312217194570137
lukewarm	1.0	0.0018281535648994515
drucker	1.0	0.0018587360594795538
tibet	1.0	0.0014184397163120568
chance	1.0	8.327088017320343E-5
del	1.0	6.317119393556538E-4
fisrt	1.0	0.002008032128514056
command	1.0	1.4729709824716454E-4
larry	1.0	0.0010822510822510823
allykc	1.0	0.0020161290322580645
untitled	1.0	0.001639344262295082
exception	1.0	2.49003984063745E-4
themes	1.0	0.0013568521031207597
smiths	1.0	0.0013550135501355014
aboard	1.0	9.115770282588879E-4
kind	1.0	6.885155604516663E-5
doesnt	1.0	7.204610951008645E-4
planet	1.0	2.565418163160595E-4
nashville	1.0	0.0015337423312883436
role	1.0	4.391743522178305E-5
dex	1.0	0.0019342359767891683
kino	1.0	0.0019120458891013384
dev	1.0	0.0015384615384615385
stewart	1.0	5.589714924538849E-4
reloaded	1.0	0.0018214936247723133
marie	1.0	8.368200836820083E-4
httpmailmannewgreennetorgukpipermailchristophermailoutlattachmentsfeffatta	1.0	0.0020161290322580645
hacke	1.0	0.00199203187250996
impair	1.0	7.692307692307692E-4
enterpriselevel	1.0	0.0020
texture	1.0	7.037297677691766E-4
cbituc	1.0	0.002008032128514056
tired	1.0	5.482456140350877E-4
saloni	1.0	0.002012072434607646
pfeiffer	1.0	0.001893939393939394
jazzmatazz	1.0	0.002012072434607646
shinkai	1.0	0.00196078431372549
pcg	1.0	0.001669449081803005
damn	1.0	7.283321194464676E-4
alert	1.0	3.8255547054322876E-4
rgnet	1.0	0.0020161290322580645
maria	1.0	7.132667617689016E-4
esther	1.0	0.0013440860215053765
welsh	1.0	2.2266755733689602E-4
touch	1.0	1.2626262626262626E-4
morgue	1.0	0.0018552875695732839
floyd	1.0	0.0012484394506866417
dina	1.0	0.0018450184501845018
flow	1.0	1.4518002322880372E-4
wizard	1.0	8.163265306122449E-4
crack	1.0	3.8138825324180017E-4
multi	1.0	6.988120195667365E-4
tim	1.0	3.002101471029721E-4
indemand	1.0	0.001953125
technical	1.0	1.0448229025180232E-4
kramer	1.0	0.0016420361247947454
promotions	1.0	0.0015082956259426848
dowling	1.0	0.0017857142857142857
refuse	1.0	1.7415534656913968E-4
anders	1.0	0.0017482517482517483
systrinx	1.0	0.0020161290322580645
neo	1.0	0.0015772870662460567
filmfour	1.0	0.001941747572815534
lawsuit	1.0	0.0012903225806451613
installer	1.0	0.0011198208286674132
trilogy	1.0	0.0011695906432748538
talks	1.0	0.0018975332068311196
token	1.0	7.473841554559044E-4
slightly	1.0	1.866368047779022E-4
cropdusting	1.0	0.002008032128514056
scarlett	1.0	0.0016233766233766235
hotly	1.0	0.0016750418760469012
eighty	1.0	0.0012048192771084338
foundation	1.0	1.0969723562966213E-4
goldbug	1.0	0.002012072434607646
cafe	1.0	4.830917874396135E-4
notting	1.0	0.0014619883040935672
brown	1.0	1.4990256333383302E-4
sonybmg	1.0	0.001937984496124031
retelling	1.0	0.00196078431372549
nefarious	1.0	0.0018450184501845018
exercise	1.0	9.573042312847023E-5
lane	1.0	1.710278775440397E-4
trial	1.0	1.2695188523549576E-4
