WORD	FREQ	JACCARD SIMILARITY
president	1.0	1.2943308309603936E-4
occur	1.0	9.778994719342852E-5
computerise	1.0	0.001122334455667789
cluster	1.0	3.8819875776397513E-4
secret	1.0	2.1222410865874363E-4
holding	1.0	4.440497335701599E-4
publicationsmaternityallianceorguk	1.0	0.001968503937007874
joke	1.0	4.1050903119868636E-4
arran	1.0	0.001519756838905775
downloads	1.0	6.101281269066504E-4
invalid	1.0	9.9601593625498E-4
banker	1.0	0.0010570824524312897
discretionary	1.0	0.0010683760683760685
singlespace	1.0	0.0019569471624266144
massive	1.0	2.570694087403599E-4
technologies	1.0	6.925207756232687E-4
accounts	1.0	7.27802037845706E-4
abcde	1.0	0.0019305019305019305
underlying	1.0	4.393673110720562E-4
percentage	1.0	3.465003465003465E-4
approval	1.0	2.4783147459727387E-4
centres	1.0	5.488474204171241E-4
exempt	1.0	5.889281507656066E-4
stakeholder	1.0	3.727171077152441E-4
threshold	1.0	5.455537370430987E-4
comprehensiveness	1.0	0.001851851851851852
interactive	1.0	2.1654395842355997E-4
kempster	1.0	0.001941747572815534
experimenting	1.0	0.0019305019305019305
sla	1.0	0.0015060240963855422
analytica	1.0	0.00196078431372549
push	1.0	1.794043774668102E-4
genetic	1.0	3.0674846625766873E-4
entailofficial	1.0	0.001968503937007874
pre	1.0	5.621135469364812E-4
teamagency	1.0	0.001968503937007874
annum	1.0	6.544502617801048E-4
koizumi	1.0	0.001890359168241966
chinlin	1.0	0.001968503937007874
treat	1.0	9.812579727210283E-5
tests	1.0	0.001226993865030675
derbyshire	1.0	6.5359477124183E-4
biology	1.0	3.6088054853843375E-4
tes	1.0	0.0014903129657228018
competence	1.0	5.350454788657035E-4
core	1.0	1.4841199168892847E-4
cord	1.0	8.051529790660225E-4
meshal	1.0	0.001968503937007874
specie	1.0	2.0024028834601522E-4
november	1.0	6.927606511950121E-5
competition	1.0	1.0095911155981827E-4
rajeev	1.0	0.001949317738791423
involvement	1.0	2.1473051320592657E-4
reside	1.0	6.839945280437756E-4
famous	1.0	1.535862386730149E-4
deficit	1.0	7.535795026375283E-4
spelling	1.0	7.541478129713424E-4
symbol	1.0	3.466204506065858E-4
mechanism	1.0	1.9928258270227183E-4
alumnihuronacuk	1.0	0.0019646365422396855
doubt	1.0	1.417233560090703E-4
downsides	1.0	0.0018281535648994515
purchaselease	1.0	0.0019646365422396855
martin	1.0	1.6363933889707084E-4
lhs	1.0	0.0018083182640144665
ccw	1.0	0.0011261261261261261
drawing	1.0	3.2362459546925567E-4
browser	1.0	2.2381378692927484E-4
dominance	1.0	0.0010111223458038423
league	1.0	1.749475157452764E-4
existence	1.0	2.655337227827934E-4
relative	1.0	1.9755037534571315E-4
jisc	1.0	8.312551953449709E-4
comparison	1.0	2.239140170174653E-4
gathering	1.0	5.934718100890207E-4
businesslike	1.0	0.0017513134851138354
abbey	1.0	4.3572984749455336E-4
encoding	1.0	0.0017543859649122807
insure	1.0	7.656967840735069E-4
enrolment	1.0	0.0010080645161290322
propel	1.0	0.0012919896640826874
mid	1.0	3.2E-4
academy	1.0	2.3691068467187872E-4
blame	1.0	3.8895371450797355E-4
platform	1.0	2.126754572522331E-4
observatories	1.0	0.001876172607879925
contra	1.0	0.0016891891891891893
stipulate	1.0	0.0011792452830188679
million	1.0	2.6191723415400735E-4
tidy	1.0	7.627765064836003E-4
workspace	1.0	0.0013812154696132596
ashton	1.0	8.764241893076249E-4
extra	1.0	1.0444955086693127E-4
sato	1.0	0.0017825311942959
birdstrike	1.0	0.0019455252918287938
venues	1.0	0.00145985401459854
foreseeable	1.0	0.0012547051442910915
pleasing	1.0	0.0011173184357541898
issues	1.0	5.333333333333334E-4
coastal	1.0	4.1999160016799666E-4
goal	1.0	1.0474494605635278E-4
corporal	1.0	0.001455604075691412
looksmart	1.0	0.0019230769230769232
bridge	1.0	1.2030798845043312E-4
tien	1.0	0.0017985611510791368
blackwell	1.0	9.624639076034649E-4
kapc	1.0	0.0019305019305019305
scorah	1.0	0.001968503937007874
concept	1.0	1.2360939431396787E-4
command	1.0	1.4703720041170417E-4
straightforward	1.0	5.624296962879641E-4
inspect	1.0	5.851375073142189E-4
uks	1.0	0.0010845986984815619
typical	1.0	2.461841457410143E-4
sections	1.0	0.0011363636363636363
identity	1.0	1.7593244194229416E-4
accomplish	1.0	6.381620931716656E-4
exemption	1.0	4.4014084507042255E-4
wan	1.0	0.0014492753623188406
remove	1.0	8.454514710855597E-5
sairah	1.0	0.001968503937007874
dale	1.0	8.431703204047217E-4
alqatari	1.0	0.001968503937007874
wellknown	1.0	6.150061500615006E-4
safeguarding	1.0	0.0017667844522968198
cross	1.0	8.751203290452437E-5
injustice	1.0	8.952551477170994E-4
fixture	1.0	6.443298969072165E-4
miscreant	1.0	0.001893939393939394
dissertation	1.0	4.780114722753346E-4
canadian	1.0	4.5829514207149406E-4
sata	1.0	0.0016722408026755853
recommended	1.0	5.257623554153522E-4
commentary	1.0	4.3572984749455336E-4
conjunction	1.0	3.5688793718772306E-4
tariq	1.0	0.0017513134851138354
cite	1.0	3.779289493575208E-4
budgetholder	1.0	0.0019646365422396855
contextualism	1.0	0.0019011406844106464
goto	1.0	0.001488095238095238
investor	1.0	3.439972480220158E-4
asa	1.0	0.001141552511415525
disagree	1.0	5.780346820809249E-4
kaddoura	1.0	0.001968503937007874
damn	1.0	7.220216606498195E-4
brochure	1.0	4.889975550122249E-4
publicity	1.0	4.520795660036166E-4
art	1.0	4.9118326047448304E-5
subscription	1.0	3.455425017277125E-4
profitably	1.0	0.0017064846416382253
mortgages	1.0	0.0014005602240896359
runtime	1.0	0.0011641443538998836
probation	1.0	0.0011049723756906078
chassis	1.0	0.001034126163391934
repository	1.0	7.604562737642585E-4
nihrd	1.0	0.0019569471624266144
modern	1.0	7.485590238790328E-5
sell	1.0	6.729927989770509E-5
emailed	1.0	8.291873963515755E-4
technological	1.0	4.918839153959665E-4
exploratory	1.0	0.0013698630136986301
chancellor	1.0	4.74158368895211E-4
durable	1.0	9.541984732824427E-4
tigger	1.0	0.00186219739292365
delete	1.0	3.4698126301179735E-4
protecting	1.0	0.001694915254237288
rationale	1.0	8.389261744966443E-4
ball	1.0	1.4025245441795232E-4
trading	1.0	2.3337222870478414E-4
excite	1.0	5.920663114268798E-4
network	1.0	4.879238838741156E-5
coordinatemanage	1.0	0.001968503937007874
bankrupt	1.0	0.001017293997965412
disclaimer	1.0	5.305039787798408E-4
unusual	1.0	2.860411899313501E-4
friendly	1.0	1.6331863465621427E-4
practicable	1.0	8.703220191470844E-4
real	1.0	5.070222582771384E-5
truthful	1.0	0.001488095238095238
transform	1.0	2.751031636863824E-4
composition	1.0	3.699593044765076E-4
obtainable	1.0	0.0014771048744460858
visualise	1.0	0.0012987012987012987
administrative	1.0	3.1436655139893113E-4
mitochondria	1.0	0.0019569471624266144
tempalte	1.0	0.001968503937007874
factual	1.0	9.587727708533077E-4
mechanic	1.0	7.518796992481203E-4
folder	1.0	4.8756704046806434E-4
instantly	1.0	6.253908692933083E-4
affiliate	1.0	5.589714924538849E-4
needed	1.0	0.0010845986984815619
lea	1.0	5.717552887364208E-4
chisato	1.0	0.0019646365422396855
whitelands	1.0	0.0019230769230769232
contracting	1.0	0.0011248593925759281
cooperatively	1.0	0.0017543859649122807
dynamists	1.0	0.001968503937007874
distributionso	1.0	0.001968503937007874
rise	1.0	7.957348611442667E-5
headcount	1.0	0.0018450184501845018
unemployment	1.0	5.045408678102926E-4
managers	1.0	8.928571428571428E-4
parentscarers	1.0	0.001639344262295082
mystery	1.0	4.0032025620496394E-4
buy	1.0	5.055867334041155E-5
motion	1.0	2.664535038635758E-4
september	1.0	5.6066382596994845E-5
invoice	1.0	5.257623554153522E-4
submission	1.0	2.860411899313501E-4
driver	1.0	1.1879306248515087E-4
jurisdiction	1.0	5.040322580645161E-4
preserve	1.0	2.914602156805596E-4
resident	1.0	1.2000480019200768E-4
truman	1.0	0.0016025641025641025
lane	1.0	1.7067759003242875E-4
evolve	1.0	3.527336860670194E-4
hang	1.0	2.4224806201550387E-4
optimistic	1.0	8.984725965858042E-4
scheduling	1.0	0.0011695906432748538
vacancy	1.0	3.7037037037037035E-4
grading	1.0	0.0017391304347826088
trade	1.0	7.028394714647174E-5
payroll	1.0	9.45179584120983E-4
beer	1.0	3.1084861672365556E-4
acknowledge	1.0	2.50501002004008E-4
hse	1.0	6.285355122564425E-4
intuitive	1.0	9.950248756218905E-4
logically	1.0	0.0012919896640826874
ru	1.0	0.0016891891891891893
healthcare	1.0	2.9507229271171436E-4
shopping	1.0	1.849796522382538E-4
niche	1.0	8.319467554076539E-4
continually	1.0	5.733944954128441E-4
homeless	1.0	6.506180871828237E-4
