WORD	FREQ	JACCARD SIMILARITY
catchpole	1.0	0.0019305019305019305
secret	1.0	2.1240441801189465E-4
summer	1.0	8.296001327360213E-5
guarantee	1.0	1.6028209648982208E-4
mercer	1.0	0.0015455950540958269
poorer	1.0	0.001890359168241966
specification	1.0	2.294630564479119E-4
jen	1.0	0.0015128593040847202
samuel	1.0	5.780346820809249E-4
supernatural	1.0	0.0010905125408942203
technologies	1.0	6.944444444444445E-4
isbn	1.0	3.206155819172812E-4
foundation	1.0	1.0960105217010084E-4
loch	1.0	6.238303181534623E-4
marco	1.0	0.0012547051442910915
yunde	1.0	0.0019801980198019802
realign	1.0	0.0017391304347826088
row	1.0	2.631578947368421E-4
nostalgia	1.0	0.001282051282051282
parsons	1.0	0.0010857763300760044
midlands	1.0	2.874389192296637E-4
highford	1.0	0.001984126984126984
twist	1.0	5.291005291005291E-4
flexible	1.0	2.199736031676199E-4
clips	1.0	0.0017605633802816902
complies	1.0	0.001968503937007874
sandy	1.0	5.257623554153522E-4
carcinoma	1.0	0.0015772870662460567
yard	1.0	2.5960539979231567E-4
jewish	1.0	3.234152652005175E-4
provisional	1.0	7.651109410864575E-4
headline	1.0	4.580852038479157E-4
httpwwwcontaminatedlandcouktiptrixhtm	1.0	0.001984126984126984
sighting	1.0	0.001091703056768559
marital	1.0	0.001314060446780552
leroy	1.0	0.0017452006980802793
discount	1.0	2.3832221163012392E-4
investors	1.0	0.0014792899408284023
exchangefactoryappendexchangegroup	1.0	0.0019801980198019802
soe	1.0	0.0016051364365971107
wisdom	1.0	4.478280340349306E-4
caroline	1.0	6.277463904582549E-4
thegreycardigangmailcom	1.0	0.001984126984126984
spaces	1.0	0.00130718954248366
earlier	1.0	1.876172607879925E-4
reproduction	1.0	5.952380952380953E-4
fires	1.0	0.0018552875695732839
partnership	1.0	7.930843048616068E-5
schism	1.0	0.001718213058419244
prix	1.0	0.0010330578512396695
schools	1.0	2.9568302779420464E-4
abseiling	1.0	0.001953125
family	1.0	3.018321209743141E-5
berenbaum	1.0	0.001976284584980237
confident	1.0	3.093102381688834E-4
cycle	1.0	1.6603021749958492E-4
functional	1.0	4.5351473922902497E-4
throught	1.0	0.0017793594306049821
sovereignty	1.0	9.891196834817012E-4
salford	1.0	8.960573476702509E-4
mid	1.0	3.204101249599487E-4
category	1.0	1.2572290671360322E-4
hugely	1.0	7.41839762611276E-4
attach	1.0	2.030456852791878E-4
crusade	1.0	0.0012658227848101266
owned	1.0	0.0017452006980802793
reprint	1.0	7.91765637371338E-4
owner	1.0	1.0979358805445762E-4
dictionary	1.0	4.046944556859571E-4
pmacaseworkcasualtyraf	1.0	0.001984126984126984
rujina	1.0	0.001984126984126984
airbus	1.0	0.0014084507042253522
mcwilliams	1.0	0.0018552875695732839
singlepiston	1.0	0.0019801980198019802
stiffer	1.0	0.001984126984126984
limitedall	1.0	0.001984126984126984
sportswear	1.0	0.0017482517482517483
gilbert	1.0	8.097165991902834E-4
southern	1.0	2.0056157240272763E-4
identity	1.0	1.7605633802816902E-4
gruneisen	1.0	0.001984126984126984
mediaofficefaoorg	1.0	0.001984126984126984
vary	1.0	1.503307276007216E-4
mantle	1.0	0.0013736263736263737
remnant	1.0	0.001091703056768559
contest	1.0	4.7961630695443646E-4
launch	1.0	8.326394671107411E-5
quick	1.0	1.4353380221042057E-4
protect	1.0	9.948269001193792E-5
reserve	1.0	1.2825445684237527E-4
roger	1.0	3.61271676300578E-4
rickmansworth	1.0	0.0017857142857142857
downloadable	1.0	7.052186177715092E-4
honda	1.0	8.223684210526315E-4
apparent	1.0	3.465003465003465E-4
cite	1.0	3.785011355034065E-4
httpdxdoiorgjcropro	1.0	0.001984126984126984
backendphp	1.0	0.001984126984126984
wilson	1.0	3.2351989647363315E-4
brochure	1.0	4.899559039686428E-4
east	1.0	5.837370848169984E-5
crumpler	1.0	0.0019801980198019802
annual	1.0	8.080808080808081E-5
perennial	1.0	0.0011037527593818985
pic	1.0	0.0011261261261261261
past	1.0	5.736576411197797E-5
registration	1.0	1.5429717636167257E-4
damp	1.0	7.2992700729927E-4
notwithstanding	1.0	9.057971014492754E-4
refill	1.0	0.0015432098765432098
atherstone	1.0	0.0015432098765432098
medal	1.0	4.3308791684711995E-4
techgroupit	1.0	0.001984126984126984
tip	1.0	1.5625E-4
stuart	1.0	4.1118421052631577E-4
cardnell	1.0	0.001984126984126984
technical	1.0	1.0439503079653408E-4
excite	1.0	5.934718100890207E-4
flight	1.0	1.5202189115232594E-4
cheadle	1.0	0.0015873015873015873
shift	1.0	2.3142791020597085E-4
pr	1.0	4.1511000415110004E-4
success	1.0	7.470491558344539E-5
preload	1.0	0.001834862385321101
residence	1.0	3.8774718883288094E-4
sherry	1.0	0.0014534883720930232
guzzi	1.0	0.001893939393939394
agricultural	1.0	2.808199943836001E-4
accord	1.0	7.961149590000795E-5
steinmann	1.0	0.0019801980198019802
subscriber	1.0	5.691519635742744E-4
streetporter	1.0	0.0019646365422396855
stranglehold	1.0	0.0018214936247723133
evergreen	1.0	0.0013422818791946308
