WORD	FREQ	JACCARD SIMILARITY
oligoamenorrhea	1.0	0.00196078431372549
phytooestrogens	1.0	0.0019569471624266144
enquired	1.0	0.0014903129657228018
materials	1.0	5.43773790103317E-4
mega	1.0	0.0012547051442910915
guidelines	1.0	7.283321194464676E-4
lidocaine	1.0	0.0019305019305019305
joy	1.0	3.3955857385398983E-4
repetitive	1.0	0.0011098779134295228
antihypertensive	1.0	0.001876172607879925
kloster	1.0	0.001953125
welfare	1.0	2.2461814914645105E-4
destination	1.0	2.8563267637817766E-4
fibrinogen	1.0	0.0018484288354898336
roadway	1.0	0.0014970059880239522
gas	1.0	1.46177459435755E-4
children	1.0	2.1164021164021165E-4
routinely	1.0	9.363295880149813E-4
mediate	1.0	9.775171065493646E-4
premorbid	1.0	0.001953125
beverage	1.0	0.0011376564277588168
targeted	1.0	8.833922261484099E-4
nhlbi	1.0	0.001953125
gay	1.0	3.450655624568668E-4
pension	1.0	1.6728002676480428E-4
shape	1.0	1.3664935774801857E-4
pertinent	1.0	0.0011210762331838565
initially	1.0	2.6021337496747333E-4
repair	1.0	1.9665683382497542E-4
proficiency	1.0	0.0012254901960784314
power	1.0	3.839508542906508E-5
distanceweighted	1.0	0.00196078431372549
martin	1.0	1.635858007524947E-4
vehicle	1.0	1.0300782859497322E-4
charite	1.0	0.001949317738791423
demand	1.0	8.824567596187787E-5
conventional	1.0	3.197953309881676E-4
formation	1.0	2.747252747252747E-4
transmit	1.0	4.522840343735866E-4
sternotomy	1.0	0.001941747572815534
multicenter	1.0	0.0018975332068311196
nonspecific	1.0	0.001658374792703151
thin	1.0	3.51000351000351E-4
postacchini	1.0	0.00196078431372549
geneticist	1.0	0.0017035775127768314
shimizu	1.0	0.0018975332068311196
radical	1.0	3.572704537334762E-4
valuable	1.0	2.0559210526315788E-4
manchester	1.0	1.374570446735395E-4
reference	1.0	6.73536741429245E-5
slit	1.0	0.0014992503748125937
slip	1.0	3.614022406938923E-4
hping	1.0	0.0019569471624266144
residence	1.0	3.8684719535783365E-4
proposal	1.0	9.858044164037855E-5
multifaceted	1.0	0.001519756838905775
thought	1.0	1.3099292638197538E-4
declaration	1.0	4.103405826836274E-4
scope	1.0	2.599428125812321E-4
pre	1.0	5.614823133071309E-4
negligence	1.0	7.751937984496124E-4
expiry	1.0	0.001076426264800861
prion	1.0	0.0017241379310344827
save	1.0	7.336757153338224E-5
actual	1.0	2.0222446916076846E-4
wean	1.0	0.0014124293785310734
astrofund	1.0	0.00196078431372549
davey	1.0	0.0013908205841446453
fragile	1.0	9.75609756097561E-4
des	1.0	4.269854824935952E-4
dyslipidaemia	1.0	0.001941747572815534
prp	1.0	0.0016891891891891893
barriers	1.0	0.0015772870662460567
adjusted	1.0	0.0017006802721088435
totalhdl	1.0	0.00196078431372549
