WORD	FREQ	JACCARD SIMILARITY
glnavbyh	1.0	0.00199203187250996
developed	1.0	0.0010224948875255625
basque	1.0	0.0016420361247947454
chance	1.0	8.3236224404861E-5
salcombe	1.0	0.0017953321364452424
homepage	1.0	5.115089514066496E-4
wartime	1.0	0.0010718113612004287
tynemouth	1.0	0.0017667844522968198
minorca	1.0	0.001941747572815534
whisky	1.0	8.741258741258741E-4
sway	1.0	0.001201923076923077
friendliness	1.0	0.0015822784810126582
benitachell	1.0	0.001984126984126984
bayonnebiarritz	1.0	0.001996007984031936
chilly	1.0	0.0015479876160990713
jetty	1.0	0.0015698587127158557
assess	1.0	1.2399256044637322E-4
cayes	1.0	0.001937984496124031
striklfalkur	1.0	0.0019801980198019802
sandray	1.0	0.001996007984031936
backgroundposition	1.0	0.001937984496124031
treleaven	1.0	0.001996007984031936
belle	1.0	0.001226993865030675
deal	1.0	4.582321404023278E-5
unlike	1.0	3.0543677458766036E-4
notice	1.0	7.898270278808941E-5
dip	1.0	6.406149903907751E-4
protected	1.0	8.841732979664014E-4
autumn	1.0	2.663115845539281E-4
santorini	1.0	0.0019455252918287938
lansallos	1.0	0.0019801980198019802
miniature	1.0	9.049773755656109E-4
column	1.0	2.5056376847907793E-4
movie	1.0	1.6466326362588507E-4
direction	1.0	1.1961722488038278E-4
javea	1.0	0.0019120458891013384
privately	1.0	7.137758743754461E-4
ramped	1.0	0.0019880715705765406
portrush	1.0	0.001890359168241966
umbrella	1.0	8.298755186721991E-4
treat	1.0	9.819324430479184E-5
lodge	1.0	3.179650238473768E-4
pelion	1.0	0.001984126984126984
torremolinostorremolinos	1.0	0.001996007984031936
streetmiami	1.0	0.001996007984031936
maomade	1.0	0.001996007984031936
lease	1.0	4.3084877208099956E-4
doors	1.0	0.0013175230566534915
harlech	1.0	0.00186219739292365
shape	1.0	1.3681762210972773E-4
kolviarnes	1.0	0.0019880715705765406
font	1.0	5.094243504839531E-4
contemporary	1.0	1.669449081803005E-4
cl	1.0	0.0012254901960784314
reduction	1.0	1.855976243504083E-4
jul	1.0	2.4826216484607745E-4
roman	1.0	1.9896538002387584E-4
qawra	1.0	0.001976284584980237
shot	1.0	2.0631318341242006E-4
cana	1.0	0.0018656716417910447
tea	1.0	2.2598870056497175E-4
snack	1.0	7.451564828614009E-4
lend	1.0	5.555555555555556E-4
cc	1.0	5.213764337851929E-4
angle	1.0	3.21853878339234E-4
straight	1.0	1.6276041666666666E-4
luce	1.0	0.0018083182640144665
unknown	1.0	3.291639236339697E-4
haddon	1.0	0.0018115942028985507
inverness	1.0	9.950248756218905E-4
llangollen	1.0	0.0016
brut	1.0	0.0018281535648994515
eulaliaibiza	1.0	0.001996007984031936
combined	1.0	4.1649312786339027E-4
attack	1.0	9.531071292413267E-5
mid	1.0	3.2071840923669016E-4
rspb	1.0	0.0012547051442910915
calellacalella	1.0	0.001996007984031936
slovenia	1.0	0.0013605442176870747
borobudur	1.0	0.001949317738791423
lucky	1.0	3.5112359550561797E-4
clothing	1.0	3.5486160397445E-4
twentysix	1.0	0.0017006802721088435
sensation	1.0	8.726003490401396E-4
