WORD	FREQ	JACCARD SIMILARITY
pharmacy	1.0	5.807200929152149E-4
bletchley	1.0	0.0015384615384615385
summer	1.0	8.296689620841284E-5
cluster	1.0	3.8895371450797355E-4
serviceswashington	1.0	0.0019723865877712033
mania	1.0	0.0016025641025641025
decisive	1.0	9.950248756218905E-4
massive	1.0	2.574002574002574E-4
illegal	1.0	3.414134516899966E-4
classroom	1.0	2.840909090909091E-4
priority	1.0	1.5405946695424435E-4
western	1.0	1.4371945961483184E-4
hospitalisation	1.0	0.001669449081803005
compton	1.0	0.001430615164520744
flatbill	1.0	0.0019723865877712033
exempt	1.0	5.906674542232723E-4
nostril	1.0	0.0017035775127768314
shelflife	1.0	0.001834862385321101
lloyds	1.0	0.0010615711252653928
intern	1.0	0.001466275659824047
woodcock	1.0	0.00145985401459854
clever	1.0	6.285355122564425E-4
flamecrested	1.0	0.0019723865877712033
graycapped	1.0	0.0019723865877712033
breed	1.0	3.1318509238960227E-4
auditor	1.0	6.045949214026602E-4
monetary	1.0	7.283321194464676E-4
sabbatical	1.0	0.0015267175572519084
nigeria	1.0	8.857395925597874E-4
nutrient	1.0	6.920415224913495E-4
spare	1.0	3.645643456069996E-4
intake	1.0	5.773672055427252E-4
coverage	1.0	2.346316283435007E-4
irwell	1.0	0.0018656716417910447
sensory	1.0	9.115770282588879E-4
taste	1.0	2.2624434389140272E-4
boundary	1.0	2.3568230025925054E-4
fergusson	1.0	0.0018050541516245488
dedicated	1.0	3.4916201117318437E-4
cannon	1.0	9.940357852882703E-4
crate	1.0	0.0013698630136986301
suspicion	1.0	7.251631617113851E-4
hattrick	1.0	0.0014992503748125937
tel	1.0	9.880446596186147E-5
slight	1.0	4.2936882782310007E-4
binary	1.0	8.116883116883117E-4
docks	1.0	0.0012970168612191958
prejudice	1.0	5.307855626326964E-4
pole	1.0	4.734848484848485E-4
ode	1.0	0.001488095238095238
slit	1.0	0.0015151515151515152
competition	1.0	1.0101010101010101E-4
efficacy	1.0	9.233610341643582E-4
kurtz	1.0	0.0018832391713747645
spray	1.0	6.261740763932373E-4
compress	1.0	8.733624454148472E-4
thing	1.0	2.493143854400399E-5
clause	1.0	4.4365572315882877E-4
willem	1.0	0.0018248175182481751
longstay	1.0	0.0018552875695732839
unpredictablelate	1.0	0.0019880715705765406
sayaca	1.0	0.0019569471624266144
identity	1.0	1.7608733932030288E-4
