WORD	FREQ	JACCARD SIMILARITY
president	1.0	1.295672454003628E-4
attendee	1.0	9.765625E-4
cafs	1.0	0.0015455950540958269
dartmoor	1.0	0.001098901098901099
times	1.0	1.7409470752089137E-4
context	1.0	1.0752688172043011E-4
specification	1.0	2.2967386311437759E-4
conversation	1.0	3.058103975535168E-4
edner	1.0	0.0019880715705765406
bolton	1.0	6.825938566552901E-4
camden	1.0	8.410428931875525E-4
pasty	1.0	0.0017271157167530224
communities	1.0	7.710100231303007E-4
ian	1.0	1.9727756954034326E-4
senet	1.0	0.001984126984126984
supports	1.0	0.0016420361247947454
nagty	1.0	0.0019801980198019802
sharp	1.0	3.35795836131632E-4
diploma	1.0	4.784688995215311E-4
cibtconstruction	1.0	0.0020
ebp	1.0	0.0019011406844106464
magna	1.0	0.001326259946949602
receives	1.0	0.001834862385321101
socrates	1.0	0.00130718954248366
httpwwwwiredgovnetwglaunchaspxartcl	1.0	0.0019880715705765406
fs	1.0	0.0011098779134295228
specialism	1.0	0.0012224938875305623
iag	1.0	0.0017730496453900709
quantify	1.0	9.92063492063492E-4
guilds	1.0	0.0014992503748125937
opportunities	1.0	6.531678641410843E-4
piece	1.0	8.400537634408603E-5
hypovereinsbank	1.0	0.0020
famehungry	1.0	0.0020
shortfall	1.0	0.0011061946902654867
multimillion	1.0	0.001430615164520744
portfolio	1.0	3.1466331025802394E-4
louisemccarthylantracouk	1.0	0.0020
tamworth	1.0	0.0014749262536873156
ycl	1.0	0.001996007984031936
camp	1.0	1.9904458598726116E-4
tuan	1.0	0.0019646365422396855
retain	1.0	1.8453589223103894E-4
webpage	1.0	8.389261744966443E-4
gamekeeping	1.0	0.0019646365422396855
air	1.0	7.496813854112003E-5
hospital	1.0	7.744733581164808E-5
panlondon	1.0	0.0018656716417910447
francis	1.0	4.589261128958238E-4
lack	1.0	1.0743446497636442E-4
assessing	1.0	0.0015408320493066256
lean	1.0	5.707762557077625E-4
preenterprise	1.0	0.00199203187250996
electroville	1.0	0.001996007984031936
sage	1.0	8.064516129032258E-4
pfippp	1.0	0.001941747572815534
builder	1.0	5.208333333333333E-4
c+e	1.0	0.001949317738791423
copyright	1.0	1.1892020454275182E-4
martin	1.0	1.6385384237260363E-4
morgan	1.0	5.246589716684155E-4
essex	1.0	3.645643456069996E-4
finsbury	1.0	0.0017094017094017094
subregion	1.0	0.0017793594306049821
iain	1.0	8.726003490401396E-4
worldly	1.0	0.001445086705202312
df	1.0	0.0013908205841446453
mild	1.0	5.787037037037037E-4
