WORD	FREQ	JACCARD SIMILARITY
plastic	1.0	2.883506343713956E-4
profession	1.0	3.0883261272390367E-4
cluster	1.0	3.8955979742890534E-4
deputy	1.0	2.9895366218236175E-4
massive	1.0	2.576655501159495E-4
campaigning	1.0	7.524454477050414E-4
moral	1.0	2.81610813855252E-4
unions	1.0	0.0018248175182481751
cycling	1.0	4.6992481203007516E-4
derive	1.0	2.7159152634437803E-4
inventor	1.0	0.0011507479861910242
pleasure	1.0	2.9568302779420464E-4
relevance	1.0	4.5682960255824577E-4
bridget	1.0	0.0014204545454545455
leloup	1.0	0.002004008016032064
impairments	1.0	0.0019230769230769232
limosani	1.0	0.002004008016032064
predominantly	1.0	7.621951219512195E-4
sandro	1.0	0.001949317738791423
inactive	1.0	0.0014245014245014246
biotechnology	1.0	6.097560975609756E-4
carter	1.0	6.706908115358819E-4
liddle	1.0	0.0018248175182481751
paul	1.0	9.191176470588235E-5
reaccreditation	1.0	0.0019305019305019305
fulfilment	1.0	0.0010845986984815619
headline	1.0	4.591368227731864E-4
tyneside	1.0	0.0012062726176115801
datasharing	1.0	0.0019723865877712033
oral	1.0	3.787878787878788E-4
suffolk	1.0	5.913660555884093E-4
employers	1.0	0.0011976047904191617
admit	1.0	1.9091256204658267E-4
owner	1.0	1.0985389432055367E-4
bursaries	1.0	0.0017123287671232876
befriender	1.0	0.001941747572815534
charter	1.0	3.935458480913026E-4
tooth	1.0	4.3878894251864854E-4
spaces	1.0	0.0013157894736842105
hybrid	1.0	6.618133686300463E-4
arguments	1.0	0.0017857142857142857
admin	1.0	5.906674542232723E-4
huntington	1.0	0.0015408320493066256
inextricably	1.0	0.0016501650165016502
hsig	1.0	0.002004008016032064
african	1.0	2.5393600812595224E-4
quickly	1.0	1.1901928112354201E-4
dipole	1.0	0.001692047377326565
isl	1.0	0.001893939393939394
sex	1.0	2.4319066147859923E-4
befriending	1.0	0.0018975332068311196
arise	1.0	1.336005344021376E-4
ease	1.0	3.190810465858328E-4
rbkc	1.0	0.001941747572815534
initiativeengaging	1.0	0.002004008016032064
melissa	1.0	0.0014124293785310734
counsellor	1.0	8.216926869350862E-4
ilis	1.0	0.002004008016032064
winther	1.0	0.0019880715705765406
amateur	1.0	6.105006105006105E-4
mrinska	1.0	0.002004008016032064
soul	1.0	2.3691068467187872E-4
favoured	1.0	0.001949317738791423
politician	1.0	3.8880248833592535E-4
offroad	1.0	0.0012195121951219512
orange	1.0	3.55998576005696E-4
cunningham	1.0	0.001177856301531213
cartwright	1.0	0.0016666666666666668
manageable	1.0	0.001226993865030675
reification	1.0	0.0019569471624266144
dwelling	1.0	5.830903790087463E-4
linguistic	1.0	6.289308176100629E-4
consensus	1.0	5.417118093174431E-4
subordinate	1.0	0.0010683760683760685
preliminary	1.0	5.099439061703213E-4
kind	1.0	6.883733737179046E-5
carntyne	1.0	0.002004008016032064
enables	1.0	0.0017953321364452424
fpsw	1.0	0.002004008016032064
decentralization	1.0	0.001949317738791423
fragmentation	1.0	0.0012987012987012987
freely	1.0	4.8590864917395527E-4
kallioras	1.0	0.002004008016032064
quantification	1.0	0.0016233766233766235
impair	1.0	7.674597083653108E-4
boost	1.0	3.454231433506045E-4
cilip	1.0	0.0016313213703099511
rainer	1.0	0.0017699115044247787
dissertation	1.0	4.8007681228996637E-4
canadian	1.0	4.601932811780948E-4
overwhelming	1.0	7.358351729212656E-4
mcmaster	1.0	0.0017667844522968198
regulate	1.0	4.393673110720562E-4
enrico	1.0	0.0018450184501845018
mammal	1.0	7.215007215007215E-4
powers	1.0	0.001145475372279496
coalmining	1.0	0.0019305019305019305
wwr	1.0	0.0019880715705765406
shiny	1.0	0.0011235955056179776
leaving	1.0	0.001445086705202312
prey	1.0	8.873114463176575E-4
added	1.0	3.9261876717707107E-4
synopsis	1.0	8.888888888888889E-4
artist	1.0	1.11781801922647E-4
distinctive	1.0	4.5934772622875517E-4
transparent	1.0	6.51890482398957E-4
interwork	1.0	0.00196078431372549
amulet	1.0	0.0017730496453900709
consumption	1.0	3.7105751391465676E-4
rock	1.0	1.2256403971074888E-4
audio	1.0	2.294630564479119E-4
correspondence	1.0	3.455425017277125E-4
dsd	1.0	0.0018083182640144665
pid	1.0	0.0016556291390728477
sewerage	1.0	0.001455604075691412
gaffney	1.0	0.0018726591760299626
past	1.0	5.738222298731853E-5
deaville	1.0	0.001968503937007874
crossdepartmental	1.0	0.0019157088122605363
includingin	1.0	0.002004008016032064
acommon	1.0	0.0020
halve	1.0	0.001256281407035176
pass	1.0	5.509641873278237E-5
appointment	1.0	1.7358097552508245E-4
entrepreneur	1.0	7.189072609633358E-4
tritter	1.0	0.0020
meals	1.0	0.0014005602240896359
foods	1.0	0.001095290251916758
televisionbased	1.0	0.002004008016032064
teams	1.0	8.833922261484099E-4
edit	1.0	1.501726986033939E-4
gcse	1.0	5.906674542232723E-4
designate	1.0	3.671071953010279E-4
device	1.0	1.4285714285714287E-4
architect	1.0	4.4822949350067237E-4
sea	1.0	9.724788485850433E-5
kemp	1.0	0.0012285012285012285
rhoda	1.0	0.0018975332068311196
lodge	1.0	3.181673560292714E-4
dare	1.0	6.531678641410843E-4
indigenous	1.0	8.210180623973727E-4
mindful	1.0	0.0014184397163120568
forsyth	1.0	0.0016611295681063123
nightingale	1.0	0.001321003963011889
consistent	1.0	2.8968713789107763E-4
significance	1.0	3.65764447695684E-4
bloomfield	1.0	0.0016666666666666668
sheriff	1.0	9.84251968503937E-4
quayside	1.0	0.0016181229773462784
mile	1.0	8.872327211427557E-5
challenging	1.0	4.73260766682442E-4
oversee	1.0	6.071645415907711E-4
nutshell	1.0	0.0014727540500736377
endorsement	1.0	8.56898029134533E-4
peals	1.0	0.0019801980198019802
analogue	1.0	7.930214115781126E-4
andy	1.0	2.638522427440633E-4
presidency	1.0	0.0010309278350515464
berlin	1.0	5.830903790087463E-4
fares	1.0	0.0016863406408094434
charitable	1.0	5.194805194805195E-4
unpublished	1.0	0.0010070493454179255
amendments	1.0	0.0016722408026755853
barclays	1.0	0.0010214504596527069
screenings	1.0	0.0014124293785310734
nov	1.0	2.787068004459309E-4
documentary	1.0	4.3821209465381246E-4
dimension	1.0	2.9069767441860465E-4
wallace	1.0	7.473841554559044E-4
httpwwwnlgflorguk	1.0	0.002004008016032064
cells	1.0	0.0015313935681470138
intersection	1.0	0.001303780964797914
older	1.0	9.624639076034649E-4
leads	1.0	0.0015360983102918587
normative	1.0	0.0013513513513513514
tsn	1.0	0.0017699115044247787
facilitator	1.0	8.888888888888889E-4
rosewell	1.0	0.0019801980198019802
translation	1.0	2.9761904761904765E-4
techniques	1.0	0.0010362694300518134
visually	1.0	6.618133686300463E-4
advocate	1.0	4.248088360237893E-4
trends	1.0	0.0012515644555694619
exam	1.0	3.3852403520649965E-4
mpa	1.0	0.001215066828675577
tenant	1.0	2.9568302779420464E-4
conflict	1.0	1.9036740909956216E-4
escape	1.0	2.3980815347721823E-4
mundell	1.0	0.0019455252918287938
greenlaw	1.0	0.0019083969465648854
corruption	1.0	7.530120481927711E-4
khim	1.0	0.002004008016032064
floor	1.0	1.0458063166701528E-4
stagecoach	1.0	0.001288659793814433
delegate	1.0	2.845759817871372E-4
differential	1.0	7.980845969672786E-4
investigate	1.0	1.590836780146357E-4
adaptability	1.0	0.001639344262295082
barking	1.0	0.0013297872340425532
momentous	1.0	0.0015723270440251573
trend	1.0	2.4084778420038535E-4
acrobat	1.0	4.187604690117253E-4
genomics	1.0	0.0013157894736842105
compose	1.0	4.5454545454545455E-4
genuine	1.0	3.5323207347227127E-4
alderson	1.0	0.001841620626151013
waterways	1.0	0.0011235955056179776
mooney	1.0	0.0017421602787456446
cornwall	1.0	3.243593902043464E-4
bibliographical	1.0	0.0016025641025641025
lorentzen	1.0	0.001996007984031936
levying	1.0	0.0020
sellafield	1.0	0.0016339869281045752
prove	1.0	9.809691975671964E-5
breaking	1.0	0.0012239902080783353
networking	1.0	4.257130693912303E-4
exception	1.0	2.488181139586962E-4
tolerance	1.0	6.97350069735007E-4
hotel	1.0	7.654037504783774E-5
subsidiesindustry	1.0	0.002004008016032064
friphh	1.0	0.002004008016032064
andor	1.0	1.7006802721088434E-4
burtney	1.0	0.002004008016032064
nurses	1.0	0.001182033096926714
readily	1.0	4.74158368895211E-4
chislehurst	1.0	0.0018315018315018315
churches	1.0	9.737098344693282E-4
supersede	1.0	0.0012091898428053204
guestbooks	1.0	0.0019646365422396855
jobseekers	1.0	0.0016181229773462784
intermediate	1.0	5.022601707684581E-4
blood	1.0	1.31250820317627E-4
scmh	1.0	0.001968503937007874
dewar	1.0	0.0017006802721088435
adss	1.0	0.0019569471624266144
convenience	1.0	5.834305717619603E-4
continuing	1.0	6.035003017501509E-4
busescoaches	1.0	0.0019880715705765406
powys	1.0	0.0012106537530266344
revise	1.0	2.782415136338342E-4
eoc	1.0	0.0015748031496062992
confederation	1.0	0.0011049723756906078
polytechnic	1.0	0.0013812154696132596
mall	1.0	9.861932938856016E-4
prebudget	1.0	0.001594896331738437
premises	1.0	0.0010615711252653928
eastern	1.0	2.4108003857280618E-4
coordinating	1.0	0.0015822784810126582
italian	1.0	2.8328611898016995E-4
ppi	1.0	0.0015600624024961
skip	1.0	6.389776357827476E-4
fashionable	1.0	9.671179883945841E-4
mcgranachan	1.0	0.002004008016032064
bridgebuilding	1.0	0.001976284584980237
rotational	1.0	0.0015748031496062992
constituency	1.0	6.341154090044388E-4
lesbian	1.0	7.645259938837921E-4
mcipd	1.0	0.001996007984031936
binny	1.0	0.0019801980198019802
commute	1.0	0.0011389521640091116
investigation	1.0	1.5936254980079682E-4
headlynnfieldschoolhartlepoolgovuk	1.0	0.002004008016032064
machinery	1.0	5.524861878453039E-4
siru	1.0	0.0020
insert	1.0	3.405994550408719E-4
apprenticeship	1.0	9.689922480620155E-4
mulligan	1.0	0.0018484288354898336
annex	1.0	6.578947368421052E-4
marriage	1.0	2.3752969121140142E-4
calabr	1.0	0.002004008016032064
dentists	1.0	0.0017953321364452424
ranks	1.0	0.0018656716417910447
border	1.0	2.2742779167614282E-4
nyfvo	1.0	0.002004008016032064
absolutely	1.0	2.487562189054726E-4
nina	1.0	0.0014727540500736377
giovanna	1.0	0.001968503937007874
