WORD	FREQ	JACCARD SIMILARITY
scientifique	1.0	0.0018656716417910447
institutional	1.0	4.591368227731864E-4
profession	1.0	3.0921459492888067E-4
username	1.0	7.262164124909223E-4
alternate	1.0	6.389776357827476E-4
threehour	1.0	0.0016806722689075631
days	1.0	2.2426553038797938E-4
classroom	1.0	2.847380410022779E-4
songkla	1.0	0.00202020202020202
nonstipendiary	1.0	0.0019801980198019802
kid	1.0	1.9747235387045813E-4
paperselit	1.0	0.00202020202020202
justin	1.0	9.233610341643582E-4
touch	1.0	1.2627857052658164E-4
campbell	1.0	5.373455131649651E-4
hat	1.0	4.137360364087712E-4
feb	1.0	2.878526194588371E-4
share	1.0	4.9813200498132005E-5
subcommittee	1.0	8.539709649871904E-4
salon	1.0	0.0011750881316098707
sandy	1.0	5.282620179609086E-4
component	1.0	1.3599891200870393E-4
codes	1.0	0.0011160714285714285
tuesun	1.0	0.001968503937007874
jewish	1.0	3.243593902043464E-4
helsinki	1.0	0.001422475106685633
tew	1.0	0.0019342359767891683
litchfield	1.0	0.0019267822736030828
market	1.0	4.102732419791581E-5
polity	1.0	0.0015822784810126582
boas	1.0	0.001876172607879925
judgment	1.0	4.07000407000407E-4
justify	1.0	3.3189512114171923E-4
secondary	1.0	1.9062142584826535E-4
collective	1.0	3.968253968253968E-4
net	1.0	1.5835312747426763E-4
rodica	1.0	0.00202020202020202
climate	1.0	1.870207593042828E-4
commerce	1.0	4.8123195380173246E-4
woman	1.0	4.78537589127626E-5
inquiry	1.0	3.2615786040443573E-4
ingentaconnect	1.0	0.001669449081803005
enstone	1.0	0.002004008016032064
woodstock	1.0	0.001694915254237288
scoones	1.0	0.0019801980198019802
nineteenth	1.0	6.578947368421052E-4
welsh	1.0	2.2271714922048998E-4
virtually	1.0	3.681885125184094E-4
exchequer	1.0	0.0012345679012345679
conversation	1.0	3.0627871362940275E-4
rhetoric	1.0	9.823182711198428E-4
mention	1.0	9.97307270370001E-5
valuable	1.0	2.0622808826562179E-4
januaryjuly	1.0	0.00202020202020202
mix	1.0	1.6020506247997436E-4
sarah	1.0	3.059039461609055E-4
maurice	1.0	0.001053740779768177
lnicholglosacuk	1.0	0.00202020202020202
cater	1.0	4.434589800443459E-4
edgbaston	1.0	0.001589825119236884
mis	1.0	0.0015037593984962407
germanenglish	1.0	0.001953125
lswjscullivjmacuk	1.0	0.00202020202020202
jazz	1.0	4.152823920265781E-4
rockhill	1.0	0.0020
lifecourse	1.0	0.001890359168241966
prospects	1.0	0.0016420361247947454
developer	1.0	2.925687536571094E-4
webmaster	1.0	7.530120481927711E-4
dec	1.0	2.922267679719462E-4
mccosh	1.0	0.002012072434607646
taster	1.0	0.0011614401858304297
cardiovascular	1.0	8.665511265164644E-4
micromachine	1.0	0.001996007984031936
nontechnical	1.0	0.001639344262295082
amazon	1.0	6.009615384615385E-4
hutchinson	1.0	0.001310615989515072
carlson	1.0	0.0017331022530329288
dey	1.0	0.0017730496453900709
profiles	1.0	0.0013812154696132596
mideighteenth	1.0	0.0019305019305019305
damian	1.0	0.0015723270440251573
des	1.0	4.297378599054577E-4
howes	1.0	0.0018018018018018018
death	1.0	6.976419701409237E-5
treasurer	1.0	6.71591672263264E-4
amax	1.0	0.002004008016032064
precedent	1.0	0.001072961373390558
sibling	1.0	0.0010822510822510823
convention	1.0	2.6062027625749283E-4
adrian	1.0	5.813953488372093E-4
culmination	1.0	0.0013736263736263737
canadian	1.0	4.610419548178884E-4
pbl	1.0	0.0014992503748125937
consumer	1.0	1.2554927809165097E-4
dgdz	1.0	0.00202020202020202
fundamentals	1.0	0.0016207455429497568
height	1.0	2.168256721595837E-4
experimental	1.0	3.940110323089047E-4
moxonbrowne	1.0	0.00202020202020202
humantities	1.0	0.00202020202020202
anca	1.0	0.001996007984031936
viceprincipals	1.0	0.001996007984031936
clarissa	1.0	0.0018796992481203006
walters	1.0	0.0014044943820224719
httppoynterindianaedutre	1.0	0.00202020202020202
thy	1.0	6.127450980392157E-4
