WORD	FREQ	JACCARD SIMILARITY
plastic	1.0	2.8901734104046245E-4
celebrity	1.0	5.107252298263534E-4
denotify	1.0	0.0020325203252032522
sarcophagus	1.0	0.001937984496124031
technologies	1.0	7.00770847932726E-4
classroom	1.0	2.8506271379703536E-4
greenfingers	1.0	0.0019801980198019802
architecture	1.0	2.5906735751295336E-4
visually	1.0	6.653359946773121E-4
sharm	1.0	0.0017667844522968198
hannahselorguk	1.0	0.002036659877800407
sunset	1.0	8.340283569641367E-4
tester	1.0	0.0012345679012345679
crowd	1.0	2.5150905432595576E-4
wiley	1.0	0.0013386880856760374
die	1.0	7.605141075366947E-5
spokesmen	1.0	0.002028397565922921
holocaust	1.0	9.398496240601503E-4
canopen	1.0	0.001949317738791423
playfulness	1.0	0.0019120458891013384
crown	1.0	2.448579823702253E-4
reluctant	1.0	7.776049766718507E-4
root	1.0	2.153316106804479E-4
counselling	1.0	9.813542688910696E-4
landscape	1.0	1.714971702966901E-4
videography	1.0	0.002004008016032064
diane	1.0	0.0010718113612004287
honorary	1.0	6.565988181221273E-4
medway	1.0	0.0012330456226880395
disgustingly	1.0	0.002012072434607646
delusion	1.0	0.0015337423312883436
philosophies	1.0	0.002004008016032064
favor	1.0	9.45179584120983E-4
construct	1.0	2.1767522855898998E-4
gladman	1.0	0.0018587360594795538
hitler	1.0	7.8003120124805E-4
height	1.0	2.1701388888888888E-4
sheikh	1.0	0.001394700139470014
personnel	1.0	3.049710277523635E-4
cambodia	1.0	0.001394700139470014
unison	1.0	6.41025641025641E-4
reduction	1.0	1.859427296392711E-4
ossig	1.0	0.002036659877800407
cooling	1.0	0.001277139208173691
toddler	1.0	8.976660682226212E-4
paz	1.0	0.0017605633802816902
dedicated	1.0	3.506311360448808E-4
clumsiness	1.0	0.001968503937007874
yesterday	1.0	2.1867483052700635E-4
ultrasound	1.0	0.0011198208286674132
canvas	1.0	8.136696501220504E-4
charity	1.0	1.0236462278636504E-4
trifling	1.0	0.0018867924528301887
cricshopcom	1.0	0.002036659877800407
fan	1.0	1.3246787653993907E-4
rcr	1.0	0.001937984496124031
signi	1.0	0.001984126984126984
saarbrucken	1.0	0.0020161290322580645
learners	1.0	0.0015015015015015015
spoil	1.0	7.8125E-4
rural	1.0	1.5098897780462027E-4
lacking	1.0	0.001834862385321101
pay	1.0	3.375299557835758E-5
lean	1.0	5.737234652897303E-4
exposition	1.0	0.0012738853503184713
valticos	1.0	0.001984126984126984
node	1.0	5.268703898840885E-4
simonbickerdikepenningtonscouk	1.0	0.002036659877800407
locate	1.0	1.1491611123879568E-4
healthier	1.0	0.0016155088852988692
advocate	1.0	4.2625745950554135E-4
antenatal	1.0	0.0013477088948787063
sightseeing	1.0	0.001201923076923077
murray	1.0	5.54016620498615E-4
justice	1.0	1.562744178777934E-4
therapeutic	1.0	6.55307994757536E-4
packaged	1.0	0.00199203187250996
cwmystwyth	1.0	0.002012072434607646
consultancy	1.0	3.266906239790918E-4
distant	1.0	5.26592943654555E-4
occasion	1.0	1.7580872011251758E-4
cetistechdis	1.0	0.002036659877800407
sirma	1.0	0.002036659877800407
gorge	1.0	0.0011402508551881414
optional	1.0	3.6603221083455345E-4
collaboration	1.0	2.43842965130456E-4
neuromuscular	1.0	0.0017953321364452424
pirates	1.0	0.0014903129657228018
gaulle	1.0	0.0018148820326678765
trauma	1.0	7.911392405063291E-4
trainer	1.0	4.158004158004158E-4
noncommercial	1.0	0.0012254901960784314
dphil	1.0	0.001519756838905775
depend	1.0	1.0432968179447053E-4
respectful	1.0	0.001447178002894356
forge	1.0	6.954102920723226E-4
cottage	1.0	2.472799208704253E-4
playfer	1.0	0.0020161290322580645
light	1.0	4.807923457858551E-5
informed	1.0	6.277463904582549E-4
universal	1.0	3.439972480220158E-4
fence	1.0	5.518763796909492E-4
transformation	1.0	4.338394793926247E-4
gorda	1.0	0.001976284584980237
berkshire	1.0	7.722007722007722E-4
alert	1.0	3.832886163280951E-4
pan	1.0	4.885197850512946E-4
circulate	1.0	5.08646998982706E-4
nuclear	1.0	2.0597322348094748E-4
tsig	1.0	0.002036659877800407
undergo	1.0	4.2607584149978694E-4
