WORD	FREQ	JACCARD SIMILARITY
provisionally	1.0	0.0015698587127158557
incentive	1.0	4.8216007714561236E-4
patientcontact	1.0	0.001953125
aug	1.0	2.575328354365182E-4
guarantee	1.0	1.6017940092904052E-4
deputy	1.0	2.981514609421586E-4
baseline	1.0	8.333333333333334E-4
biannually	1.0	0.0018832391713747645
areas	1.0	0.001277139208173691
reserved	1.0	7.57002271006813E-4
conway	1.0	0.0013227513227513227
summaries	1.0	0.0018018018018018018
gym	1.0	6.618133686300463E-4
accessible	1.0	1.9290123456790122E-4
status	1.0	1.2359411692003462E-4
stevens	1.0	9.267840593141798E-4
counter	1.0	4.0048057669203043E-4
shortterm	1.0	6.561679790026247E-4
exhibition	1.0	1.4570887367040654E-4
origin	1.0	2.2836263987211693E-4
henderson	1.0	9.165902841429881E-4
jump	1.0	2.433682161109759E-4
junior	1.0	2.9163021289005544E-4
environmentally	1.0	7.49063670411985E-4
tough	1.0	3.0395136778115504E-4
celia	1.0	0.0015015015015015015
dissertations	1.0	0.0018587360594795538
sercuc	1.0	0.001968503937007874
jaques	1.0	0.0017953321364452424
chi	1.0	9.407337723424271E-4
nonsalaried	1.0	0.001968503937007874
stretch	1.0	2.757859900717044E-4
suite	1.0	2.813731007315701E-4
diploma	1.0	4.7664442326024784E-4
loneliness	1.0	0.0014641288433382138
tutorstrainers	1.0	0.0019646365422396855
wwwcaptcooknecouk	1.0	0.001968503937007874
beneficial	1.0	4.6882325363338024E-4
asu	1.0	0.0018115942028985507
morris	1.0	4.714757190004715E-4
bruce	1.0	5.157297576070139E-4
ernest	1.0	0.0011389521640091116
coach	1.0	1.968503937007874E-4
fulfil	1.0	5.485463521667581E-4
ouls	1.0	0.0018832391713747645
mowbray	1.0	0.0015698587127158557
clerical	1.0	0.0012345679012345679
bandwidth	1.0	7.855459544383347E-4
microsoft	1.0	2.2286605749944285E-4
largescale	1.0	7.739938080495357E-4
upper	1.0	2.2825838849577722E-4
escalatefunded	1.0	0.001968503937007874
brighton	1.0	3.904724716907458E-4
brendan	1.0	0.0011363636363636363
recurrent	1.0	0.0012062726176115801
integrators	1.0	0.0019267822736030828
taught	1.0	0.001314060446780552
owings	1.0	0.0019569471624266144
tds	1.0	0.0014947683109118087
outreach	1.0	7.320644216691069E-4
print	1.0	8.85661146045523E-5
invite	1.0	1.2496875781054737E-4
lis	1.0	0.0015625
combat	1.0	4.07000407000407E-4
senco	1.0	0.0017921146953405018
beginning	1.0	1.781895937277263E-4
webpages	1.0	0.0013227513227513227
caut	1.0	0.00196078431372549
duration	1.0	3.6088054853843375E-4
icts	1.0	0.0014705882352941176
definition	1.0	1.7809439002671417E-4
neooffice	1.0	0.0019646365422396855
staffdevoulsoxacuk	1.0	0.001968503937007874
kingfisher	1.0	0.0011904761904761906
merger	1.0	6.41025641025641E-4
liz	1.0	6.724949562878278E-4
tef	1.0	0.001941747572815534
marcia	1.0	0.0017699115044247787
found	1.0	2.5188916876574307E-4
httpwwwdrcorgukpublicationsandreportspublicationsasp	1.0	0.001968503937007874
aimhigher	1.0	0.0013333333333333333
transcript	1.0	6.934812760055479E-4
begin	1.0	4.662874195654201E-5
hharwoodbrookesacuk	1.0	0.00196078431372549
charge	1.0	5.469262743382192E-5
