WORD	FREQ	JACCARD SIMILARITY
brave	1.0	6.116207951070336E-4
inhabited	1.0	0.001941747572815534
institutional	1.0	4.585052728106373E-4
lady	1.0	1.7774617845716317E-4
sleeve	1.0	8.103727714748784E-4
largely	1.0	2.452182442373713E-4
sway	1.0	0.0012062726176115801
revd	1.0	0.0012315270935960591
res	1.0	0.0011049723756906078
zone	1.0	2.2401433691756272E-4
mmu	1.0	0.0017064846416382253
alistair	1.0	0.0010482180293501049
descendant	1.0	9.689922480620155E-4
campbell	1.0	5.36480686695279E-4
immature	1.0	0.001466275659824047
sandi	1.0	0.001838235294117647
ron	1.0	7.08215297450425E-4
suitable	1.0	1.203224642040669E-4
ilod	1.0	0.002008032128514056
consonant	1.0	0.001584786053882726
tabbable	1.0	0.0020
kentucky	1.0	0.001447178002894356
invaluable	1.0	5.941770647653001E-4
clicheridden	1.0	0.002008032128514056
provincial	1.0	0.0010683760683760685
beta	1.0	7.58150113722517E-4
sesnic	1.0	0.002004008016032064
davis	1.0	5.405405405405405E-4
dialectical	1.0	0.0017064846416382253
suffolk	1.0	5.91715976331361E-4
johnson	1.0	3.3211557622052476E-4
cheaters	1.0	0.0020
son	1.0	9.863878477017163E-5
leukaemia	1.0	0.001282051282051282
astoria	1.0	0.001763668430335097
reduction	1.0	1.8570102135561745E-4
banks	1.0	9.718172983479105E-4
martin	1.0	1.6390755613833797E-4
higham	1.0	0.0015082956259426848
lecture	1.0	1.5634771732332708E-4
accountable	1.0	7.674597083653108E-4
charity	1.0	1.0229132569558102E-4
gold	1.0	1.7857142857142857E-4
tel	1.0	9.885330170027679E-5
taste	1.0	2.2650056625141563E-4
wren	1.0	0.0012254901960784314
abuser	1.0	0.0016260162601626016
reptile	1.0	0.001455604075691412
pause	1.0	6.43915003219575E-4
lyric	1.0	6.002400960384153E-4
catalogue	1.0	2.345765892563922E-4
valuable	1.0	2.0610057708161583E-4
passage	1.0	2.6136957658128593E-4
broadcasting	1.0	6.402048655569782E-4
danville	1.0	0.0019880715705765406
ksathe	1.0	0.002008032128514056
zambia	1.0	0.0013404825737265416
heine	1.0	0.0017985611510791368
works	1.0	4.68384074941452E-4
identifiable	1.0	9.615384615384616E-4
renown	1.0	9.074410163339383E-4
command	1.0	1.4725371815638345E-4
kyoto	1.0	0.0012048192771084338
hudeib	1.0	0.002008032128514056
oct	1.0	2.555583950932788E-4
tentative	1.0	0.0014124293785310734
anticipated	1.0	0.0011049723756906078
noncabinet	1.0	0.0020
rfid	1.0	0.0015060240963855422
caterer	1.0	0.0014814814814814814
empathetically	1.0	0.002004008016032064
neck	1.0	4.32152117545376E-4
sake	1.0	5.94883997620464E-4
unprecedented	1.0	8.077544426494346E-4
emma	1.0	5.277044854881266E-4
satellite	1.0	3.3266799733865603E-4
glyver	1.0	0.0019723865877712033
adrian	1.0	5.803830528148578E-4
style	1.0	7.675186123263489E-5
promptly	1.0	7.352941176470588E-4
occupational	1.0	4.2319085907744394E-4
doorbell	1.0	0.0017889087656529517
wit	1.0	7.763975155279503E-4
cstc	1.0	0.00199203187250996
rammell	1.0	0.0018248175182481751
nondisabled	1.0	0.001697792869269949
transferable	1.0	8.9126559714795E-4
alert	1.0	3.8226299694189603E-4
subject	1.0	3.348625389277701E-5
discussions	1.0	0.0016666666666666668
backwards	1.0	8.496176720475786E-4
ether	1.0	0.0015923566878980893
debilitating	1.0	0.0016207455429497568
ofr	1.0	0.001694915254237288
headquarters	1.0	4.982561036372695E-4
shake	1.0	4.1981528127623844E-4
illogically	1.0	0.0019880715705765406
cascade	1.0	0.0011337868480725624
hypertext	1.0	8.46740050804403E-4
assumption	1.0	3.5486160397445E-4
biometric	1.0	0.00129366106080207
mature	1.0	3.90015600624025E-4
swansea	1.0	4.5998160073597056E-4
mvc	1.0	0.0019011406844106464
neale	1.0	0.0016155088852988692
coapec	1.0	0.0018867924528301887
southeastern	1.0	0.0015220700152207
dry	1.0	1.661405549094534E-4
cumbernauld	1.0	0.0016025641025641025
stomach	1.0	6.565988181221273E-4
isaac	1.0	0.0010141987829614604
blessing	1.0	6.443298969072165E-4
highland	1.0	4.347826086956522E-4
psp	1.0	0.0011560693641618498
cure	1.0	4.574565416285453E-4
sudden	1.0	5.353319057815846E-4
suspend	1.0	5.136106831022085E-4
suppose	1.0	1.9825535289452815E-4
raynsford	1.0	0.0018148820326678765
impudite	1.0	0.001996007984031936
discontinue	1.0	0.0011547344110854503
