WORD	FREQ	JACCARD SIMILARITY
newcomer	1.0	8.976660682226212E-4
institutional	1.0	4.576659038901602E-4
coniston	1.0	0.0017211703958691911
harbledown	1.0	0.0019646365422396855
architecture	1.0	2.583311805734952E-4
fradle	1.0	0.0019880715705765406
alice	1.0	5.878894767783657E-4
graduating	1.0	0.001466275659824047
accommodation	1.0	1.1560693641618497E-4
benchmark	1.0	7.8064012490242E-4
ignacio	1.0	0.001890359168241966
sciaf	1.0	0.0019723865877712033
crowd	1.0	2.5081514923501377E-4
batting	1.0	0.0015408320493066256
chrysalis	1.0	0.0018248175182481751
illuminating	1.0	0.001941747572815534
operating	1.0	3.176620076238882E-4
culturally	1.0	0.0011312217194570137
heroin	1.0	0.001218026796589525
gay	1.0	3.4602076124567473E-4
alliancesouth	1.0	0.00199203187250996
marilyn	1.0	0.0012484394506866417
abandon	1.0	3.852080123266564E-4
cohort	1.0	8.888888888888889E-4
treat	1.0	9.818360333824252E-5
gap	1.0	1.9527436047646945E-4
revolutionise	1.0	0.0013386880856760374
cap	1.0	3.7230081906180194E-4
proficiency	1.0	0.0012376237623762376
cute	1.0	0.0010080645161290322
protect	1.0	9.950248756218905E-5
jackson	1.0	4.8007681228996637E-4
jnr	1.0	0.0015479876160990713
mortimore	1.0	0.001869158878504673
tomlinson	1.0	0.0014005602240896359
neighbour	1.0	2.506265664160401E-4
stability	1.0	3.6656891495601173E-4
ccsl	1.0	0.00199203187250996
dollar	1.0	4.6040515653775324E-4
similar	1.0	7.249003262051468E-5
maude	1.0	0.0017921146953405018
swiss	1.0	7.326007326007326E-4
sessions	1.0	0.0010615711252653928
initially	1.0	2.607561929595828E-4
spatial	1.0	5.952380952380953E-4
kill	1.0	1.1828720132481665E-4
parenttoddler	1.0	0.0019723865877712033
remain	1.0	5.2186619350798456E-5
expenditure	1.0	3.588087549336204E-4
pioneer	1.0	3.980891719745223E-4
wetland	1.0	0.0010131712259371835
musicians	1.0	0.0015060240963855422
differ	1.0	3.26797385620915E-4
proposal	1.0	9.865824782951855E-5
replacement	1.0	2.828854314002829E-4
erection	1.0	0.0011001100110011
save	1.0	7.341065922771986E-5
cebu	1.0	0.0018552875695732839
location	1.0	6.126700159294204E-5
murray	1.0	5.506607929515419E-4
pupils	1.0	0.0013513513513513514
equity	1.0	4.2176296921130323E-4
sln	1.0	0.0019342359767891683
bedir	1.0	0.00199203187250996
ernst	1.0	0.0013227513227513227
bike	1.0	2.2799817601459188E-4
illustration	1.0	3.4048348655090226E-4
perspectives	1.0	0.0013175230566534915
extended	1.0	3.961965134706815E-4
neil	1.0	3.402517863218782E-4
curricula	1.0	0.001838235294117647
centres	1.0	5.506607929515419E-4
curating	1.0	0.0018832391713747645
coverage	1.0	2.346866932644919E-4
developing	1.0	0.0015082956259426848
divisive	1.0	0.001644736842105263
workingclass	1.0	0.001392757660167131
firmly	1.0	5.189413596263622E-4
bypass	1.0	6.920415224913495E-4
playwrights	1.0	0.0018975332068311196
isles	1.0	6.459948320413437E-4
musical	1.0	2.2301516503122213E-4
publicly	1.0	5.858230814294083E-4
ambitious	1.0	5.980861244019139E-4
oneyear	1.0	0.0011587485515643105
brochure	1.0	4.904364884747426E-4
itts	1.0	0.0019569471624266144
issues	1.0	5.350454788657035E-4
safaris	1.0	0.0018975332068311196
uganda	1.0	0.001037344398340249
advisory	1.0	3.058103975535168E-4
center	1.0	2.1312872975277067E-4
involing	1.0	0.0019801980198019802
craft	1.0	2.886836027713626E-4
armstrong	1.0	7.627765064836003E-4
disengage	1.0	0.0016181229773462784
entice	1.0	0.0012690355329949238
dunbartonshire	1.0	0.0018018018018018018
keppell	1.0	0.00199203187250996
mechanism	1.0	1.9952114924181964E-4
middle	1.0	1.1950286806883365E-4
driven	1.0	0.001597444089456869
