WORD	FREQ	JACCARD SIMILARITY
calculate	1.0	2.5926886180969663E-4
profession	1.0	3.079765937788728E-4
roll	1.0	1.8779342723004695E-4
pathways	1.0	0.001584786053882726
leaif	1.0	0.001968503937007874
touch	1.0	1.260716086737267E-4
predict	1.0	2.938583602703497E-4
fda	1.0	0.001314060446780552
niace	1.0	0.0011682242990654205
leader	1.0	8.92936869363336E-5
heavily	1.0	3.891050583657588E-4
mature	1.0	3.885003885003885E-4
increasingly	1.0	2.0222446916076846E-4
success	1.0	7.468259895444362E-5
witha	1.0	0.0019455252918287938
shift	1.0	2.3121387283236994E-4
mitchell	1.0	6.583278472679394E-4
promote	1.0	7.771819382917541E-5
shell	1.0	3.3647375504710633E-4
popular	1.0	9.499382540134892E-5
organiser	1.0	3.9984006397441024E-4
governor	1.0	3.696857670979667E-4
spokesperson	1.0	9.910802775024777E-4
center	1.0	2.1285653469561516E-4
dip	1.0	6.377551020408163E-4
dominate	1.0	3.6900369003690036E-4
transferring	1.0	0.0018796992481203006
push	1.0	1.794043774668102E-4
analytical	1.0	6.242197253433209E-4
prepares	1.0	0.001876172607879925
emarkets	1.0	0.0019646365422396855
friend	1.0	5.170630816959669E-5
excess	1.0	3.3967391304347825E-4
agents	1.0	8.389261744966443E-4
chancellor	1.0	4.74158368895211E-4
vacant	1.0	9.596928982725527E-4
advisory	1.0	3.0525030525030525E-4
stop	1.0	6.238692370079231E-5
headline	1.0	4.572473708276177E-4
reinstatement	1.0	0.0015408320493066256
burden	1.0	4.187604690117253E-4
availableinformation	1.0	0.001968503937007874
jeremy	1.0	6.418485237483953E-4
voice	1.0	1.0962508221881167E-4
await	1.0	4.3975373790677223E-4
consideration	1.0	1.6377333770062233E-4
systems	1.0	2.3137436372049977E-4
electives	1.0	0.001937984496124031
piano	1.0	5.125576627370579E-4
circulate	1.0	5.042864346949068E-4
instrument	1.0	2.002803925495694E-4
gallen	1.0	0.00186219739292365
woman	1.0	4.7824007651841225E-5
butler	1.0	7.127583749109052E-4
ted	1.0	8.058017727639E-4
silke	1.0	0.0019230769230769232
alive	1.0	3.5971223021582735E-4
art	1.0	4.9118326047448304E-5
seamus	1.0	0.0015384615384615385
timeframe	1.0	0.001597444089456869
helen	1.0	3.6310820624546115E-4
promptly	1.0	7.2992700729927E-4
licenses	1.0	0.001876172607879925
canadian	1.0	4.5829514207149406E-4
buttery	1.0	0.0017271157167530224
pete	1.0	4.8192771084337347E-4
shop	1.0	8.095854922279793E-5
crippling	1.0	0.0016835016835016834
minute	1.0	4.86073980459826E-5
sheffield	1.0	2.959455460195324E-4
