WORD	FREQ	JACCARD SIMILARITY
profilewall	1.0	0.0019569471624266144
smokestack	1.0	0.001869158878504673
plastic	1.0	2.8735632183908046E-4
mcleanitdnrlnavymil	1.0	0.001953125
gastrointestinal	1.0	0.0013605442176870747
largely	1.0	2.444390124663896E-4
httpwwwgdconfcom	1.0	0.0019569471624266144
req	1.0	0.0017793594306049821
rpw	1.0	0.0019569471624266144
forrestperkins	1.0	0.0019569471624266144
fluid	1.0	4.248088360237893E-4
kleiman	1.0	0.0019267822736030828
origin	1.0	2.2820629849383843E-4
communications	1.0	3.204101249599487E-4
picnic	1.0	8.058017727639E-4
bereavement	1.0	0.0011682242990654205
globe	1.0	5.694760820045558E-4
azellweghqnasagov	1.0	0.001953125
cent	1.0	1.3267878466233248E-4
ships	1.0	0.001349527665317139
tomorrow	1.0	2.86286859433152E-4
dir	1.0	0.0013227513227513227
dry	1.0	1.6578249336870026E-4
systolic	1.0	0.0018148820326678765
boarding	1.0	0.0017064846416382253
needed	1.0	0.001081081081081081
ocean	1.0	3.332222592469177E-4
institutions	1.0	0.0011402508551881414
lancashire	1.0	5.0E-4
expo	1.0	0.001392757660167131
syracuse	1.0	0.0018115942028985507
crown	1.0	2.4366471734892786E-4
privately	1.0	7.087172218284905E-4
dse	1.0	0.0017825311942959
headline	1.0	4.5662100456621003E-4
monetary	1.0	7.24112961622013E-4
diane	1.0	0.001049317943336831
ship	1.0	1.4543339150668993E-4
risks	1.0	0.0011273957158962795
ostriana	1.0	0.0019569471624266144
jeddah	1.0	0.0018315018315018315
finally	1.0	1.034233116144379E-4
neurosciences	1.0	0.0018281535648994515
nigeria	1.0	8.795074758135445E-4
authority	1.0	4.726121272271846E-5
bakamidis	1.0	0.0019569471624266144
physician	1.0	7.2992700729927E-4
shoes	1.0	0.0013157894736842105
filled	1.0	0.001763668430335097
hazardous	1.0	7.558578987150416E-4
singaporeforthe	1.0	0.0019569471624266144
leoppky	1.0	0.0019569471624266144
undergo	1.0	4.224757076468103E-4
professoriate	1.0	0.001941747572815534
wilks	1.0	0.0017730496453900709
ted	1.0	8.038585209003215E-4
impact	1.0	7.209805335255949E-5
armed	1.0	5.128205128205128E-4
side	1.0	4.440694524623651E-5
rounds	1.0	0.0017793594306049821
southern	1.0	2.002803925495694E-4
corral	1.0	0.0018083182640144665
aruba	1.0	0.0018018018018018018
pastored	1.0	0.0019455252918287938
muslims	1.0	4.570383912248629E-4
mutual	1.0	4.5871559633027525E-4
mix	1.0	1.5979546180888463E-4
experimental	1.0	3.9154267815191856E-4
tyne	1.0	7.220216606498195E-4
mis	1.0	0.0014684287812041115
outrage	1.0	0.0010504201680672268
sixparty	1.0	0.001644736842105263
smyrna	1.0	0.0019011406844106464
murray	1.0	5.47945205479452E-4
obtain	1.0	8.5295121119072E-5
hivaids	1.0	0.0010604453870625664
drink	1.0	1.252661906551422E-4
somerset	1.0	5.136106831022085E-4
mouafac	1.0	0.0019455252918287938
fore	1.0	0.0011001100110011
intentional	1.0	0.001375515818431912
epic	1.0	6.821282401091405E-4
identity	1.0	1.7583963425356076E-4
tired	1.0	5.43773790103317E-4
dissertation	1.0	4.7732696897374703E-4
adrian	1.0	5.76036866359447E-4
solicit	1.0	0.001483679525222552
acquire	1.0	2.1079258010118043E-4
scherer	1.0	0.0019342359767891683
wage	1.0	3.447087211306446E-4
dissemination	1.0	7.262164124909223E-4
courtauld	1.0	0.0015723270440251573
attest	1.0	0.001358695652173913
mock	1.0	9.70873786407767E-4
cubicdesigned	1.0	0.0019569471624266144
ellard	1.0	0.0019157088122605363
ballot	1.0	7.173601147776184E-4
zimbabwe	1.0	8.756567425569177E-4
taiping	1.0	0.0019455252918287938
hesitate	1.0	7.309941520467836E-4
barton	1.0	9.149130832570906E-4
des	1.0	4.268032437046522E-4
briton	1.0	9.643201542912247E-4
programming	1.0	3.5310734463276836E-4
morning	1.0	9.305788200260562E-5
rsladevcnbcca	1.0	0.0019011406844106464
blackboard	1.0	0.0012836970474967907
attach	1.0	2.0275750202757503E-4
escalate	1.0	0.0011210762331838565
sandved	1.0	0.0019455252918287938
bibic	1.0	0.0019120458891013384
